============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
73      0.1094457880   0x01C04A   0|000|0001110000...           0.1094455719   2.16e-07       
74      -0.0365746766  0x8095CF   1|000|0000100101...           -0.0365743637  3.13e-07       
75      0.1235990822   0x01FA43   0|000|0001111110...           0.1235990524   2.98e-08       
76      0.0746371970   0x0131B7   0|000|0001001100...           0.0746374130   2.16e-07       
77      -0.0505127795  0x80CEE6   1|000|0000110011...           -0.0505123138  4.66e-07       
78      0.0233706627   0x005FBA   0|000|0000010111...           0.0233707428   8.01e-08       
79      -0.2289614230  0x83A9D3   1|000|0011101010...           -0.2289609909  4.32e-07       
80      0.1278889328   0x020BD5   0|000|0010000010...           0.1278886795   2.53e-07       
81      0.1009149924   0x019D59   0|000|0001100111...           0.1009149551   3.73e-08       
82      0.0396345146   0x00A258   0|000|0000101000...           0.0396347046   1.90e-07       
83      0.1110002398   0x01C6A8   0|000|0001110001...           0.1110000610   1.79e-07       
84      -0.0745799318  0x81317B   1|000|0001001100...           -0.0745801926  2.61e-07       
85      0.1322760582   0x021DCE   0|000|0010000111...           0.1322765350   4.77e-07       
86      -0.0162531212  0x804293   1|000|0000010000...           -0.0162534714  3.50e-07       
87      0.0404096134   0x00A585   0|000|0000101001...           0.0404100418   4.28e-07       
88      -0.0022197145  0x800918   1|000|0000000010...           -0.0022201538  4.39e-07       
89      -0.0889932290  0x816C84   1|000|0001011011...           -0.0889930725  1.56e-07       
90      0.0029596381   0x000C1F   0|000|0000000011...           0.0029592514   3.87e-07       
91      -0.1281910688  0x820D12   1|000|0010000011...           -0.1281909943  7.45e-08       
92      -0.0623813607  0x80FF84   1|000|0000111111...           -0.0623817444  3.84e-07       
93      -0.0066891420  0x801B66   1|000|0000000110...           -0.0066890717  7.03e-08       
94      0.0673153922   0x0113B9   0|000|0001000100...           0.0673151016   2.91e-07       
95      -0.0862682983  0x81615B   1|000|0001011000...           -0.0862684250  1.27e-07       
96      0.0387047678   0x009E89   0|000|0000100111...           0.0387048721   1.04e-07       
97      -0.0105384523  0x802B2A   1|000|0000001010...           -0.0105381012  3.51e-07       
98      0.0789581761   0x01436A   0|000|0001010000...           0.0789585114   3.35e-07       
99      -0.4184360206  0x86B1EA   1|000|0110101100...           -0.4184360504  2.98e-08       
100     -0.0082894471  0x8021F4   1|000|0000001000...           -0.0082893372  1.10e-07       
101     0.1559100598   0x027E9C   0|000|0010011111...           0.1559104919   4.32e-07       
102     0.1997903287   0x033257   0|000|0011001100...           0.1997900009   3.28e-07       
103     0.1514198184   0x026C37   0|000|0010011011...           0.1514196396   1.79e-07       
104     0.0274569951   0x007077   0|000|0000011100...           0.0274572372   2.42e-07       
105     0.0257809348   0x006999   0|000|0000011010...           0.0257806778   2.57e-07       
106     -0.0637753531  0x810539   1|000|0001000001...           -0.0637750626  2.91e-07       
107     -0.0832148790  0x8154D9   1|000|0001010101...           -0.0832147598  1.19e-07       
108     -0.0651911870  0x810B06   1|000|0001000010...           -0.0651912689  8.19e-08       
109     -0.2700211108  0x845202   1|000|0100010100...           -0.2700214386  3.28e-07       
110     0.0852938667   0x015D5D   0|000|0001010111...           0.0852937698   9.69e-08       
111     0.1601744890   0x029013   0|000|0010100100...           0.1601743698   1.19e-07       
112     -0.1616661251  0x82962F   1|000|0010100101...           -0.1616659164  2.09e-07       
113     -0.0192611367  0x804EE5   1|000|0000010011...           -0.0192613602  2.23e-07       
114     0.1485902071   0x0260A0   0|000|0010011000...           0.1485900879   1.19e-07       
115     -0.0012784195  0x80053D   1|000|0000000001...           -0.0012788773  4.58e-07       
116     0.0528018735   0x00D847   0|000|0000110110...           0.0528020859   2.12e-07       
117     -0.0437094048  0x80B309   1|000|0000101100...           -0.0437097549  3.50e-07       
118     -0.1434329152  0x824B80   1|000|0010010010...           -0.1434326172  2.98e-07       
119     -0.1533024162  0x8273ED   1|000|0010011100...           -0.1533021927  2.24e-07       
120     -0.0477025844  0x80C364   1|000|0000110000...           -0.0477027893  2.05e-07       
121     -0.0144176763  0x803B0E   1|000|0000001110...           -0.0144176483  2.80e-08       
122     0.0525105037   0x00D715   0|000|0000110101...           0.0525102615   2.42e-07       
123     -0.2856326699  0x8491F4   1|000|0100100100...           -0.2856330872  4.17e-07       
124     -0.1134124100  0x81D08A   1|000|0001110100...           -0.1134128571  4.47e-07       
125     0.2659234405   0x044139   0|000|0100010000...           0.2659235001   5.96e-08       
126     -0.0943216607  0x818257   1|000|0001100000...           -0.0943212509  4.10e-07       
127     -0.0740370974  0x812F42   1|000|0001001011...           -0.0740375519  4.54e-07       
128     -0.0380300507  0x809BC5   1|000|0000100110...           -0.0380296707  3.80e-07       
129     -0.0559433997  0x80E525   1|000|0000111001...           -0.0559434891  8.94e-08       
130     -0.1006030291  0x819C12   1|000|0001100111...           -0.1006031036  7.45e-08       
131     -0.0902507827  0x8171AB   1|000|0001011100...           -0.0902509689  1.86e-07       
132     0.2319136262   0x03B5EB   0|000|0011101101...           0.2319135666   5.96e-08       
133     -0.0608598590  0x80F948   1|000|0000111110...           -0.0608596802  1.79e-07       
134     -0.1311316341  0x82191D   1|000|0010000110...           -0.1311311722  4.62e-07       
135     0.1010671332   0x019DF9   0|000|0001100111...           0.1010675430   4.10e-07       
136     0.1693636477   0x02B5B7   0|000|0010101101...           0.1693639755   3.28e-07       
137     0.0030288068   0x000C68   0|000|0000000011...           0.0030288696   6.28e-08       
138     -0.0824718475  0x8151CE   1|000|0001010100...           -0.0824718475  3.42e-11       
139     0.0163606070   0x004303   0|000|0000010000...           0.0163602829   3.24e-07       
140     0.0243498068   0x0063BD   0|000|0000011000...           0.0243501663   3.60e-07       
141     0.1193462536   0x01E8D8   0|000|0001111010...           0.1193466187   3.65e-07       
142     -0.1606315374  0x8291F2   1|000|0010100100...           -0.1606311798  3.58e-07       
143     -0.2412992865  0x83DC5D   1|000|0011110111...           -0.2412996292  3.43e-07       
144     0.2947743833   0x04B765   0|000|0100101101...           0.2947740555   3.28e-07       
145     -0.1013859883  0x819F47   1|000|0001100111...           -0.1013860703  8.20e-08       
146     -0.1535878330  0x827519   1|000|0010011101...           -0.1535882950  4.62e-07       
147     -0.1232478321  0x81F8D3   1|000|0001111110...           -0.1232481003  2.68e-07       
148     0.0696013942   0x011D16   0|000|0001000111...           0.0696010590   3.35e-07       
149     0.0198489092   0x00514D   0|000|0000010100...           0.0198488235   8.57e-08       
150     -0.1853561699  0x82F738   1|000|0010111101...           -0.1853561401  2.98e-08       
151     0.2565488815   0x041AD3   0|000|0100000110...           0.2565488815   3.08e-11       
152     -0.0411873609  0x80A8B4   1|000|0000101010...           -0.0411872864  7.45e-08       
153     0.0311356187   0x007F88   0|000|0000011111...           0.0311355591   5.96e-08       
154     -0.0669553950  0x811240   1|000|0001000100...           -0.0669555664  1.71e-07       
155     0.0430105664   0x00B02C   0|000|0000101100...           0.0430107117   1.45e-07       
156     -0.0204186440  0x8053A3   1|000|0000010100...           -0.0204191208  4.77e-07       
157     0.0425285511   0x00AE32   0|000|0000101011...           0.0425281525   3.99e-07       
158     -0.0747548789  0x813232   1|000|0001001100...           -0.0747547150  1.64e-07       
159     0.1814973056   0x02E76A   0|000|0010111001...           0.1814975739   2.68e-07       
160     -0.2133205682  0x8369C3   1|000|0011011010...           -0.2133207321  1.64e-07       
161     -0.1501718462  0x82671B   1|000|0010011001...           -0.1501722336  3.87e-07       
162     -0.0484289713  0x80C65D   1|000|0000110001...           -0.0484285355  4.36e-07       
163     -0.1743103713  0x82C9FA   1|000|0010110010...           -0.1743106842  3.13e-07       
164     0.1681039631   0x02B08E   0|000|0010101100...           0.1681041718   2.09e-07       
165     -0.1561784148  0x827FB5   1|000|0010011111...           -0.1561784744  5.96e-08       
166     -0.0292984787  0x807802   1|000|0000011110...           -0.0292987823  3.04e-07       
167     -0.0968085229  0x818C87   1|000|0001100011...           -0.0968084335  8.94e-08       
168     0.1292012185   0x021135   0|000|0010000100...           0.1292009354   2.83e-07       
169     0.0752149075   0x013415   0|000|0001001101...           0.0752153397   4.32e-07       
170     -0.2450263500  0x83EBA1   1|000|0011111010...           -0.2450265884  2.38e-07       
171     -0.0642770529  0x810747   1|000|0001000001...           -0.0642766953  3.58e-07       
172     -0.1420361102  0x8245C8   1|000|0010010001...           -0.1420364380  3.28e-07       
173     -0.1723800600  0x82C212   1|000|0010110000...           -0.1723804474  3.87e-07       
174     -0.1156158373  0x81D990   1|000|0001110110...           -0.1156158447  7.43e-09       
175     -0.2047789246  0x8346C6   1|000|0011010001...           -0.2047786713  2.53e-07       
176     0.1328675449   0x02203A   0|000|0010001000...           0.1328678131   2.68e-07       
177     -0.0470094979  0x80C08D   1|000|0000110000...           -0.0470094681  2.98e-08       
178     0.1379374862   0x0234FE   0|000|0010001101...           0.1379375458   5.96e-08       
179     0.1081230938   0x01BADF   0|000|0001101110...           0.1081228256   2.68e-07       
180     -0.1067120358  0x81B518   1|000|0001101101...           -0.1067123413  3.06e-07       
181     0.0544753708   0x00DF22   0|000|0000110111...           0.0544757843   4.14e-07       
182     -0.0179328620  0x804974   1|000|0000010010...           -0.0179328918  2.98e-08       
183     -0.0870552734  0x816494   1|000|0001011001...           -0.0870552063  6.71e-08       
