============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
3833    -0.1933808476  0x831817   1|000|0011000110...           -0.1933813095  4.62e-07       
3834    -0.0081777368  0x80217F   1|000|0000001000...           -0.0081777573  2.05e-08       
3835    0.1411555111   0x02422C   0|000|0010010000...           0.1411552429   2.68e-07       
3836    0.1537629366   0x0275D0   0|000|0010011101...           0.1537628174   1.19e-07       
3837    -0.0865466222  0x81627F   1|000|0001011000...           -0.0865468979  2.76e-07       
3838    -0.1719581932  0x82C057   1|000|0010110000...           -0.1719579697  2.24e-07       
3839    -0.0835408941  0x81562F   1|000|0001010101...           -0.0835409164  2.23e-08       
3840    -0.0551420413  0x80E1DD   1|000|0000111000...           -0.0551424026  3.61e-07       
3841    0.0850489438   0x015C5C   0|000|0001010111...           0.0850486755   2.68e-07       
3842    -0.1101269275  0x81C314   1|000|0001110000...           -0.1101264954  4.32e-07       
3843    -0.2280285507  0x83A601   1|000|0011101001...           -0.2280282974  2.53e-07       
3844    0.2205870450   0x038786   0|000|0011100001...           0.2205867767   2.68e-07       
3845    -0.1060218439  0x81B244   1|000|0001101100...           -0.1060218811  3.72e-08       
3846    -0.2614453435  0x842EE1   1|000|0100001011...           -0.2614450455  2.98e-07       
3847    0.0325298272   0x00853E   0|000|0000100001...           0.0325298309   3.73e-09       
3848    0.1022220328   0x01A2B4   0|000|0001101000...           0.1022224426   4.10e-07       
3849    0.0360451154   0x0093A4   0|000|0000100100...           0.0360450745   4.09e-08       
3850    -0.1582312286  0x82881D   1|000|0010100010...           -0.1582307816  4.47e-07       
3851    0.1436466724   0x024C60   0|000|0010010011...           0.1436462402   4.32e-07       
3852    0.0354104899   0x00910B   0|000|0000100100...           0.0354108810   3.91e-07       
3853    -0.1028362662  0x81A538   1|000|0001101001...           -0.1028366089  3.43e-07       
3854    0.1276505440   0x020ADB   0|000|0010000010...           0.1276502609   2.83e-07       
3855    0.0491391309   0x00C946   0|000|0000110010...           0.0491390228   1.08e-07       
3856    0.0647312850   0x010924   0|000|0001000010...           0.0647315979   3.13e-07       
3857    -0.0165179614  0x8043A8   1|000|0000010000...           -0.0165176392  3.22e-07       
3858    -0.0513364710  0x80D246   1|000|0000110100...           -0.0513362885  1.83e-07       
3859    0.1573884040   0x0284AA   0|000|0010100001...           0.1573886871   2.83e-07       
3860    -0.0395390391  0x80A1F4   1|000|0000101000...           -0.0395393372  2.98e-07       
3861    -0.0877044424  0x81673D   1|000|0001011001...           -0.0877046585  2.16e-07       
3862    -0.1545320302  0x8278F7   1|000|0010011110...           -0.1545324326  4.02e-07       
3863    -0.1444694698  0x824FBF   1|000|0010010011...           -0.1444692612  2.09e-07       
3864    0.1638410687   0x029F18   0|000|0010100111...           0.1638412476   1.79e-07       
3865    -0.2622748911  0x843247   1|000|0100001100...           -0.2622747421  1.49e-07       
3866    -0.1463185251  0x825752   1|000|0010010101...           -0.1463184357  8.94e-08       
3867    -0.1569419354  0x8282D6   1|000|0010100000...           -0.1569423676  4.32e-07       
3868    0.0826969445   0x0152BA   0|000|0001010100...           0.0826969147   2.98e-08       
3869    0.1742688417   0x02C9CE   0|000|0010110010...           0.1742687225   1.19e-07       
3870    -0.2468174249  0x83F2F7   1|000|0011111100...           -0.2468175888  1.64e-07       
3871    -0.0225462373  0x805C59   1|000|0000010111...           -0.0225458145  4.23e-07       
3872    -0.0256757494  0x80692B   1|000|0000011010...           -0.0256757736  2.42e-08       
3873    -0.0210497230  0x805638   1|000|0000010101...           -0.0210494995  2.23e-07       
3874    -0.1799364835  0x82E105   1|000|0010111000...           -0.1799364090  7.45e-08       
3875    -0.2764524817  0x846C59   1|000|0100011011...           -0.2764520645  4.17e-07       
3876    0.1796862930   0x02DFFF   0|000|0010110111...           0.1796865463   2.53e-07       
3877    0.1052898020   0x01AF44   0|000|0001101011...           0.1052894592   3.43e-07       
3878    0.0946229398   0x018393   0|000|0001100000...           0.0946226120   3.28e-07       
3879    0.0336461365   0x0089D1   0|000|0000100010...           0.0336465836   4.47e-07       
3880    -0.0544144958  0x80DEE2   1|000|0000110111...           -0.0544147491  2.53e-07       
3881    -0.1424614936  0x824786   1|000|0010010001...           -0.1424617767  2.83e-07       
3882    -0.1151457205  0x81D7A3   1|000|0001110101...           -0.1151456833  3.72e-08       
3883    -0.1676591039  0x82AEBB   1|000|0010101011...           -0.1676588058  2.98e-07       
3884    -0.0543394536  0x80DE93   1|000|0000110111...           -0.0543394089  4.47e-08       
3885    -0.1774535477  0x82D6DA   1|000|0010110101...           -0.1774539948  4.47e-07       
3886    -0.0246963985  0x806528   1|000|0000011001...           -0.0246963501  4.84e-08       
3887    0.1370713711   0x023172   0|000|0010001100...           0.1370716095   2.38e-07       
3888    -0.1164725944  0x81DD12   1|000|0001110111...           -0.1164722443  3.50e-07       
3889    0.1134335548   0x01D0A0   0|000|0001110100...           0.1134338379   2.83e-07       
3890    -0.1002688929  0x819AB4   1|000|0001100110...           -0.1002693176  4.25e-07       
3891    -0.0013885790  0x8005B0   1|000|0000000001...           -0.0013885498  2.92e-08       
3892    0.0654035360   0x010BE5   0|000|0001000010...           0.0654039383   4.02e-07       
3893    -0.1263711452  0x82059E   1|000|0010000001...           -0.1263713837  2.38e-07       
3894    0.2340195179   0x03BE8B   0|000|0011101111...           0.2340192795   2.38e-07       
3895    -0.1665429026  0x82AA29   1|000|0010101010...           -0.1665430069  1.04e-07       
3896    -0.0571244806  0x80E9FB   1|000|0000111010...           -0.0571241379  3.43e-07       
3897    -0.2233284861  0x8392C1   1|000|0011100100...           -0.2233285904  1.04e-07       
3898    -0.3273509741  0x853CD4   1|000|0101001111...           -0.3273506165  3.58e-07       
3899    -0.1348591149  0x822862   1|000|0010001010...           -0.1348590851  2.98e-08       
3900    0.1500058621   0x02666D   0|000|0010011001...           0.1500062943   4.32e-07       
3901    0.0212707799   0x005720   0|000|0000010101...           0.0212707520   2.79e-08       
3902    -0.1433041692  0x824AF9   1|000|0010010010...           -0.1433038712  2.98e-07       
3903    -0.0798748806  0x81472B   1|000|0001010001...           -0.0798749924  1.12e-07       
3904    0.2064758390   0x034DBA   0|000|0011010011...           0.2064762115   3.73e-07       
3905    0.0048205638   0x0013BF   0|000|0000000100...           0.0048208237   2.60e-07       
3906    -0.1232643947  0x81F8E4   1|000|0001111110...           -0.1232643127  8.20e-08       
3907    -0.0980866104  0x8191C3   1|000|0001100100...           -0.0980863571  2.53e-07       
3908    -0.0308541730  0x807E61   1|000|0000011111...           -0.0308542252  5.22e-08       
3909    -0.0157556869  0x804089   1|000|0000010000...           -0.0157556534  3.35e-08       
3910    0.1030628830   0x01A625   0|000|0001101001...           0.1030626297   2.53e-07       
3911    -0.0913463309  0x817628   1|000|0001011101...           -0.0913467407  4.10e-07       
3912    -0.0992679819  0x81969A   1|000|0001100101...           -0.0992679596  2.23e-08       
3913    -0.0536392368  0x80DBB5   1|000|0000110110...           -0.0536394119  1.75e-07       
3914    0.1278441399   0x020BA6   0|000|0010000010...           0.1278438568   2.83e-07       
3915    0.0192185268   0x004EB8   0|000|0000010011...           0.0192184448   8.20e-08       
3916    -0.0390105955  0x809FCA   1|000|0000100111...           -0.0390110016  4.06e-07       
3917    -0.0712334067  0x8123C6   1|000|0001001000...           -0.0712337494  3.43e-07       
3918    -0.0792860836  0x8144C1   1|000|0001010001...           -0.0792856216  4.62e-07       
3919    -0.0275780912  0x8070F6   1|000|0000011100...           -0.0275783539  2.63e-07       
3920    0.0170909930   0x004601   0|000|0000010001...           0.0170907974   1.96e-07       
3921    -0.1000974178  0x819A00   1|000|0001100110...           -0.1000976562  2.38e-07       
3922    0.0582770109   0x00EEB4   0|000|0000111011...           0.0582771301   1.19e-07       
3923    -0.1135705486  0x81D12F   1|000|0001110100...           -0.1135702133  3.35e-07       
3924    -0.1171671152  0x81DFEB   1|000|0001110111...           -0.1171674728  3.58e-07       
3925    -0.0267490130  0x806D90   1|000|0000011011...           -0.0267486572  3.56e-07       
3926    0.0416339636   0x00AA88   0|000|0000101010...           0.0416336060   3.58e-07       
3927    -0.0701106265  0x811F2C   1|000|0001000111...           -0.0701103210  3.05e-07       
3928    0.0426523909   0x00AEB4   0|000|0000101011...           0.0426521301   2.61e-07       
3929    0.0995030329   0x019790   0|000|0001100101...           0.0995025635   4.69e-07       
3930    0.0758582875   0x0136B7   0|000|0001001101...           0.0758581161   1.71e-07       
3931    0.0043086321   0x0011A6   0|000|0000000100...           0.0043087006   6.85e-08       
3932    -0.0045860144  0x8012C9   1|000|0000000100...           -0.0045862198  2.05e-07       
3933    -0.1360997707  0x822D77   1|000|0010001011...           -0.1360998154  4.47e-08       
3934    -0.0243895426  0x8063E6   1|000|0000011000...           -0.0243892670  2.76e-07       
3935    -0.0666339099  0x8110EF   1|000|0001000100...           -0.0666341782  2.68e-07       
3936    -0.0414002016  0x80A993   1|000|0000101010...           -0.0413999557  2.46e-07       
3937    0.0480307937   0x00C4BC   0|000|0000110001...           0.0480308533   5.96e-08       
3938    0.0144661153   0x003B41   0|000|0000001110...           0.0144662857   1.70e-07       
3939    0.1187595800   0x01E670   0|000|0001111001...           0.1187591553   4.25e-07       
3940    -0.0372768492  0x8098B0   1|000|0000100110...           -0.0372772217  3.72e-07       
3941    0.1403622329   0x023EEC   0|000|0010001111...           0.1403617859   4.47e-07       
3942    0.0349242054   0x008F0D   0|000|0000100011...           0.0349245071   3.02e-07       
3943    -0.0458497703  0x80BBCD   1|000|0000101110...           -0.0458498001  2.98e-08       
3944    0.0580673330   0x00EDD8   0|000|0000111011...           0.0580673218   1.12e-08       
3945    0.0273755435   0x007021   0|000|0000011100...           0.0273752213   3.22e-07       
3946    0.0142661855   0x003A6F   0|000|0000001110...           0.0142660141   1.71e-07       
3947    0.0036150131   0x000ECF   0|000|0000000011...           0.0036153793   3.66e-07       
3948    0.0304241795   0x007C9E   0|000|0000011111...           0.0304241180   6.15e-08       
3949    -0.0381367989  0x809C35   1|000|0000100111...           -0.0381364822  3.17e-07       
3950    0.0446148142   0x00B6BE   0|000|0000101101...           0.0446147919   2.23e-08       
3951    0.0996275544   0x019813   0|000|0001100110...           0.0996274948   5.96e-08       
3952    0.0628541559   0x010173   0|000|0001000000...           0.0628538132   3.43e-07       
3953    -0.0037993016  0x800F90   1|000|0000000011...           -0.0037994385  1.37e-07       
3954    0.0993606374   0x0196FB   0|000|0001100101...           0.0993604660   1.71e-07       
3955    0.1065653190   0x01B47E   0|000|0001101101...           0.1065654755   1.56e-07       
3956    0.0314098261   0x0080A8   0|000|0000100000...           0.0314102173   3.91e-07       
3957    0.0799883306   0x0147A2   0|000|0001010001...           0.0799884796   1.49e-07       
3958    -0.0846341625  0x815AA9   1|000|0001010110...           -0.0846338272  3.35e-07       
3959    -0.0532907918  0x80DA47   1|000|0000110110...           -0.0532903671  4.25e-07       
3960    -0.1462751776  0x825725   1|000|0010010101...           -0.1462755203  3.43e-07       
3961    0.0282911882   0x0073E1   0|000|0000011100...           0.0282907486   4.40e-07       
3962    0.0120968157   0x00318C   0|000|0000001100...           0.0120964050   4.11e-07       
3963    -0.0337014012  0x808A0A   1|000|0000100010...           -0.0337009430  4.58e-07       
3964    0.0053806780   0x00160A   0|000|0000000101...           0.0053806305   4.75e-08       
3965    -0.0270483270  0x806ECA   1|000|0000011011...           -0.0270481110  2.16e-07       
3966    0.0011717457   0x0004CD   0|000|0000000001...           0.0011720657   3.20e-07       
3967    0.0516292602   0x00D379   0|000|0000110100...           0.0516290665   1.94e-07       
3968    -0.0055552279  0x8016C1   1|000|0000000101...           -0.0055551529  7.50e-08       
3969    -0.0702613369  0x811FCA   1|000|0001000111...           -0.0702610016  3.35e-07       
3970    -0.0133952592  0x8036DE   1|000|0000001101...           -0.0133953094  5.02e-08       
3971    -0.1392209381  0x823A40   1|000|0010001110...           -0.1392211914  2.53e-07       
3972    0.0289859287   0x0076BA   0|000|0000011101...           0.0289859772   4.85e-08       
3973    0.0439746007   0x00B41F   0|000|0000101101...           0.0439748764   2.76e-07       
3974    0.0724104941   0x012898   0|000|0001001010...           0.0724105835   8.94e-08       
3975    -0.0824554414  0x8151BD   1|000|0001010100...           -0.0824556351  1.94e-07       
3976    0.0981765240   0x019222   0|000|0001100100...           0.0981769562   4.32e-07       
3977    0.0399389379   0x00A397   0|000|0000101000...           0.0399389267   1.12e-08       
3978    0.0537167117   0x00DC06   0|000|0000110111...           0.0537166595   5.22e-08       
3979    0.0890396982   0x016CB5   0|000|0001011011...           0.0890398026   1.04e-07       
3980    -0.1061402336  0x81B2C0   1|000|0001101100...           -0.1061401367  9.69e-08       
3981    0.0139436852   0x00391D   0|000|0000001110...           0.0139436722   1.30e-08       
3982    -0.0906114131  0x817325   1|000|0001011100...           -0.0906114578  4.47e-08       
3983    -0.0591929443  0x80F274   1|000|0000111100...           -0.0591926575  2.87e-07       
3984    0.0029821941   0x000C37   0|000|0000000011...           0.0029821396   5.45e-08       
3985    -0.0882323831  0x816966   1|000|0001011010...           -0.0882320404  3.43e-07       
3986    0.0713013560   0x01240D   0|000|0001001001...           0.0713014603   1.04e-07       
3987    -0.0096288668  0x802771   1|000|0000001001...           -0.0096292496  3.83e-07       
3988    -0.0084608123  0x8022A8   1|000|0000001000...           -0.0084609985  1.86e-07       
3989    0.0484081209   0x00C648   0|000|0000110001...           0.0484085083   3.87e-07       
3990    0.0222082678   0x005AF7   0|000|0000010110...           0.0222082138   5.40e-08       
3991    0.1048804969   0x01AD97   0|000|0001101011...           0.1048803329   1.64e-07       
3992    0.1025046334   0x01A3DC   0|000|0001101000...           0.1025047302   9.68e-08       
3993    -0.0537758991  0x80DC44   1|000|0000110111...           -0.0537757874  1.12e-07       
3994    0.0551046841   0x00E1B5   0|000|0000111000...           0.0551042557   4.28e-07       
3995    -0.0456890203  0x80BB24   1|000|0000101110...           -0.0456886292  3.91e-07       
3996    0.0361105129   0x0093E9   0|000|0000100100...           0.0361108780   3.65e-07       
3997    -0.0132861938  0x80366C   1|000|0000001101...           -0.0132865906  3.97e-07       
3998    -0.0777123719  0x813E4F   1|000|0001001111...           -0.0777120590  3.13e-07       
3999    0.1106800810   0x01C558   0|000|0001110001...           0.1106796265   4.55e-07       
4000    0.1260827184   0x02046F   0|000|0010000001...           0.1260824203   2.98e-07       
4001    -0.1281926483  0x820D14   1|000|0010000011...           -0.1281929016  2.53e-07       
4002    -0.0083162496  0x802210   1|000|0000001000...           -0.0083160400  2.10e-07       
4003    -0.1901120692  0x830AB3   1|000|0011000010...           -0.1901121140  4.48e-08       
4004    0.2233110666   0x0392AF   0|000|0011100100...           0.2233114243   3.58e-07       
4005    0.0196091402   0x005052   0|000|0000010100...           0.0196094513   3.11e-07       
4006    -0.0419404022  0x80ABCA   1|000|0000101010...           -0.0419406891  2.87e-07       
4007    -0.1256259233  0x820290   1|000|0010000000...           -0.1256256104  3.13e-07       
4008    -0.0527334809  0x80D7FF   1|000|0000110101...           -0.0527334213  5.96e-08       
4009    -0.1769151688  0x82D4A5   1|000|0010110101...           -0.1769151688  3.78e-11       
4010    0.1110122502   0x01C6B5   0|000|0001110001...           0.1110124588   2.09e-07       
4011    0.0250911675   0x0066C6   0|000|0000011001...           0.0250911713   3.76e-09       
4012    -0.2981428802  0x84C531   1|000|0100110001...           -0.2981424332  4.47e-07       
4013    0.0257044509   0x006949   0|000|0000011010...           0.0257043839   6.70e-08       
4014    0.0781836212   0x01403D   0|000|0001010000...           0.0781831741   4.47e-07       
4015    -0.1869250834  0x82FDA5   1|000|0010111111...           -0.1869249344  1.49e-07       
4016    -0.0140338168  0x80397C   1|000|0000001110...           -0.0140342712  4.54e-07       
4017    0.0947303474   0x018404   0|000|0001100001...           0.0947303772   2.98e-08       
4018    -0.2010690123  0x833794   1|000|0011001101...           -0.2010688782  1.34e-07       
4019    -0.1830977947  0x82EDF8   1|000|0010111011...           -0.1830978394  4.47e-08       
4020    -0.0753466487  0x81349F   1|000|0001001101...           -0.0753469467  2.98e-07       
4021    -0.0322341137  0x808408   1|000|0000100001...           -0.0322341919  7.82e-08       
4022    -0.1382005364  0x823612   1|000|0010001101...           -0.1382007599  2.23e-07       
4023    -0.2585815191  0x842326   1|000|0100001000...           -0.2585811615  3.58e-07       
4024    -0.2459320575  0x83EF56   1|000|0011111011...           -0.2459316254  4.32e-07       
4025    0.2411355972   0x03DBB1   0|000|0011110110...           0.2411355972   2.90e-11       
4026    0.0195560399   0x00501A   0|000|0000010100...           0.0195560455   5.63e-09       
4027    -0.0815401226  0x814DFD   1|000|0001010011...           -0.0815401077  1.49e-08       
4028    -0.0984006077  0x81930D   1|000|0001100100...           -0.0984010696  4.62e-07       
4029    0.0599405132   0x00F584   0|000|0000111101...           0.0599403381   1.75e-07       
4030    0.0919901580   0x0178CB   0|000|0001011110...           0.0919904709   3.13e-07       
4031    0.0260346849   0x006AA3   0|000|0000011010...           0.0260343552   3.30e-07       
4032    0.2172158211   0x0379B7   0|000|0011011110...           0.2172155380   2.83e-07       
4033    -0.1114416420  0x81C877   1|000|0001110010...           -0.1114416122  2.98e-08       
4034    -0.1036377698  0x81A880   1|000|0001101010...           -0.1036376953  7.45e-08       
4035    0.1455046833   0x0253FD   0|000|0010010100...           0.1455049515   2.68e-07       
4036    0.0137158791   0x00382E   0|000|0000001110...           0.0137157440   1.35e-07       
4037    0.1736878455   0x02C76D   0|000|0010110001...           0.1736879349   8.94e-08       
4038    -0.1309875250  0x821886   1|000|0010000110...           -0.1309871674  3.58e-07       
4039    0.0760719478   0x013797   0|000|0001001101...           0.0760717392   2.09e-07       
4040    -0.1343022436  0x82261A   1|000|0010001001...           -0.1343021393  1.04e-07       
4041    0.1166710779   0x01DDE2   0|000|0001110111...           0.1166706085   4.69e-07       
4042    -0.1759056449  0x82D082   1|000|0010110100...           -0.1759052277  4.17e-07       
4043    -0.2382495254  0x83CFDF   1|000|0011110011...           -0.2382497787  2.53e-07       
4044    0.2934831679   0x04B21B   0|000|0100101100...           0.2934827805   3.87e-07       
4045    -0.0403478518  0x80A544   1|000|0000101001...           -0.0403480530  2.01e-07       
4046    -0.0725231469  0x81290E   1|000|0001001010...           -0.0725231171  2.98e-08       
4047    -0.0182727259  0x804AD8   1|000|0000010010...           -0.0182723999  3.26e-07       
4048    0.1142390817   0x01D3EC   0|000|0001110100...           0.1142387390   3.43e-07       
4049    0.0313255787   0x00804F   0|000|0000100000...           0.0313253403   2.38e-07       
4050    -0.2372409552  0x83CBBD   1|000|0011110010...           -0.2372407913  1.64e-07       
4051    0.2006698996   0x0335F2   0|000|0011001101...           0.2006702423   3.43e-07       
4052    0.0312180351   0x007FDE   0|000|0000011111...           0.0312175751   4.60e-07       
4053    0.1827213615   0x02EC6D   0|000|0010111011...           0.1827211380   2.23e-07       
4054    0.0539832711   0x00DD1E   0|000|0000110111...           0.0539836884   4.17e-07       
4055    0.1146836728   0x01D5BF   0|000|0001110101...           0.1146841049   4.32e-07       
4056    0.0642361790   0x01071D   0|000|0001000001...           0.0642366409   4.62e-07       
4057    -0.0156117082  0x803FF2   1|000|0000001111...           -0.0156116486  5.96e-08       
4058    -0.1464058012  0x8257AE   1|000|0010010101...           -0.1464061737  3.73e-07       
4059    0.2098436803   0x035B85   0|000|0011010110...           0.2098436356   4.47e-08       
4060    -0.1726832688  0x82C350   1|000|0010110000...           -0.1726837158  4.47e-07       
4061    -0.1537421644  0x8275BA   1|000|0010011101...           -0.1537418365  3.28e-07       
4062    -0.1332678348  0x8221DD   1|000|0010001000...           -0.1332674026  4.32e-07       
4063    -0.2448014021  0x83EAB5   1|000|0011111010...           -0.2448015213  1.19e-07       
4064    0.1254470944   0x0201D5   0|000|0010000000...           0.1254472733   1.79e-07       
4065    -0.0732482001  0x812C06   1|000|0001001011...           -0.0732479095  2.91e-07       
4066    -0.1387014687  0x82381F   1|000|0010001110...           -0.1387014389  2.98e-08       
4067    -0.0287948456  0x8075F2   1|000|0000011101...           -0.0287952423  3.97e-07       
4068    0.1505024582   0x026875   0|000|0010011010...           0.1505022049   2.53e-07       
4069    0.1340680122   0x022524   0|000|0010001001...           0.1340675354   4.77e-07       
4070    -0.2220446020  0x838D7F   1|000|0011100011...           -0.2220449448  3.43e-07       
4071    -0.0723900422  0x812882   1|000|0001001010...           -0.0723896027  4.40e-07       
4072    -0.0360423513  0x8093A1   1|000|0000100100...           -0.0360422134  1.38e-07       
4073    -0.0986309424  0x8193FE   1|000|0001100100...           -0.0986309052  3.72e-08       
4074    -0.1098115668  0x81C1CA   1|000|0001110000...           -0.1098117828  2.16e-07       
4075    -0.1399578303  0x823D44   1|000|0010001111...           -0.1399574280  4.02e-07       
4076    0.1819732040   0x02E95D   0|000|0010111010...           0.1819734573   2.53e-07       
4077    0.0701548755   0x011F5B   0|000|0001000111...           0.0701551437   2.68e-07       
4078    0.1488145143   0x02618B   0|000|0010011000...           0.1488142014   3.13e-07       
4079    0.0498627946   0x00CC3D   0|000|0000110011...           0.0498628616   6.70e-08       
4080    -0.0510858782  0x80D13F   1|000|0000110100...           -0.0510854721  4.06e-07       
4081    -0.1394997537  0x823B64   1|000|0010001110...           -0.1394996643  8.94e-08       
4082    -0.0516114868  0x80D367   1|000|0000110100...           -0.0516119003  4.14e-07       
4083    -0.0284429099  0x807481   1|000|0000011101...           -0.0284433365  4.27e-07       
4084    0.0784144551   0x014130   0|000|0001010000...           0.0784149170   4.62e-07       
4085    -0.0177712534  0x8048CB   1|000|0000010010...           -0.0177717209  4.67e-07       
4086    0.2061528563   0x034C67   0|000|0011010011...           0.2061529160   5.97e-08       
4087    0.1849001646   0x02F55A   0|000|0010111101...           0.1849002838   1.19e-07       
4088    -0.2069641799  0x834FBA   1|000|0011010011...           -0.2069644928  3.13e-07       
4089    0.1422887146   0x0246D1   0|000|0010010001...           0.1422891617   4.47e-07       
4090    -0.1222145632  0x81F497   1|000|0001111101...           -0.1222143173  2.46e-07       
4091    0.0454155765   0x00BA06   0|000|0000101110...           0.0454158783   3.02e-07       
4092    -0.0077527068  0x801FC1   1|000|0000000111...           -0.0077524185  2.88e-07       
4093    -0.3563683927  0x85B3AF   1|000|0101101100...           -0.3563680649  3.28e-07       
4094    0.3575928211   0x05B8B3   0|000|0101101110...           0.3575925827   2.38e-07       
4095    -0.1779425144  0x82D8DA   1|000|0010110110...           -0.1779422760  2.38e-07       
4096    -0.0689947903  0x811A9A   1|000|0001000110...           -0.0689945221  2.68e-07       
4097    -0.2481958568  0x83F89C   1|000|0011111110...           -0.2481956482  2.09e-07       
4098    0.0503287613   0x00CE26   0|000|0000110011...           0.0503292084   4.47e-07       
4099    -0.5294984579  0x8878D3   1|000|1000011110...           -0.5294981003  3.58e-07       
4100    0.1572827250   0x02843B   0|000|0010100001...           0.1572828293   1.04e-07       
4101    0.0850478038   0x015C5B   0|000|0001010111...           0.0850477219   8.19e-08       
4102    0.0748494267   0x013295   0|000|0001001100...           0.0748491287   2.98e-07       
4103    0.0179418474   0x00497D   0|000|0000010010...           0.0179414749   3.72e-07       
4104    0.1657371819   0x02A6DC   0|000|0010101001...           0.1657371521   2.98e-08       
4105    0.1020999178   0x01A234   0|000|0001101000...           0.1021003723   4.55e-07       
4106    -0.0928616673  0x817C5D   1|000|0001011111...           -0.0928621292  4.62e-07       
4107    -0.0891949907  0x816D58   1|000|0001011011...           -0.0891952515  2.61e-07       
4108    -0.0689079165  0x811A3F   1|000|0001000110...           -0.0689077377  1.79e-07       
4109    -0.0782410651  0x81407A   1|000|0001010000...           -0.0782413483  2.83e-07       
4110    -0.0239790883  0x806238   1|000|0000011000...           -0.0239791870  9.87e-08       
4111    0.0795008764   0x0145A3   0|000|0001010001...           0.0795011520   2.76e-07       
4112    -0.1544953585  0x8278D0   1|000|0010011110...           -0.1544952393  1.19e-07       
4113    -0.0441911295  0x80B502   1|000|0000101101...           -0.0441913605  2.31e-07       
4114    0.0528212860   0x00D85B   0|000|0000110110...           0.0528211594   1.27e-07       
4115    -0.0128179295  0x803481   1|000|0000001101...           -0.0128183365  4.07e-07       
4116    -0.1032292768  0x81A6D4   1|000|0001101001...           -0.1032295227  2.46e-07       
4117    -0.0349659771  0x808F38   1|000|0000100011...           -0.0349655151  4.62e-07       
4118    0.0087313373   0x0023C3   0|000|0000001000...           0.0087308884   4.49e-07       
4119    -0.0274359100  0x807061   1|000|0000011100...           -0.0274362564  3.46e-07       
4120    0.1424534917   0x02477D   0|000|0010010001...           0.1424531937   2.98e-07       
4121    -0.0125318775  0x803355   1|000|0000001100...           -0.0125322342  3.57e-07       
4122    -0.0004557181  0x8001DE   1|000|0000000000...           -0.0004558563  1.38e-07       
4123    -0.1328623146  0x822034   1|000|0010001000...           -0.1328620911  2.24e-07       
4124    -0.1714298874  0x82BE2D   1|000|0010101111...           -0.1714296341  2.53e-07       
4125    0.0786347166   0x014216   0|000|0001010000...           0.0786342621   4.55e-07       
4126    0.0644355342   0x0107EE   0|000|0001000001...           0.0644359589   4.25e-07       
4127    -0.0383587256  0x809D1E   1|000|0000100111...           -0.0383586884  3.72e-08       
4128    -0.1348518431  0x82285A   1|000|0010001010...           -0.1348514557  3.87e-07       
4129    -0.1528853923  0x827238   1|000|0010011100...           -0.1528854370  4.47e-08       
4130    0.0346968807   0x008E1E   0|000|0000100011...           0.0346965790   3.02e-07       
4131    -0.1163682938  0x81DCA5   1|000|0001110111...           -0.1163682938  3.78e-11       
4132    0.0778866485   0x013F06   0|000|0001001111...           0.0778865814   6.71e-08       
4133    0.0167167932   0x004479   0|000|0000010001...           0.0167169571   1.64e-07       
4134    -0.0809969902  0x814BC3   1|000|0001010010...           -0.0809965134  4.77e-07       
4135    0.0652580559   0x010B4C   0|000|0001000010...           0.0652580261   2.98e-08       
4136    -0.0345346741  0x808D74   1|000|0000100011...           -0.0345344543  2.20e-07       
4137    -0.1497206688  0x826542   1|000|0010011001...           -0.1497211456  4.77e-07       
4138    -0.0315087289  0x80810F   1|000|0000100000...           -0.0315084457  2.83e-07       
4139    0.1096911952   0x01C14C   0|000|0001110000...           0.1096916199   4.25e-07       
4140    0.0405293703   0x00A602   0|000|0000101001...           0.0405292511   1.19e-07       
4141    0.1079049185   0x01B9FB   0|000|0001101110...           0.1079053879   4.69e-07       
4142    -0.0135564785  0x803787   1|000|0000001101...           -0.0135564804  1.91e-09       
4143    -0.1580702960  0x828775   1|000|0010100001...           -0.1580705643  2.68e-07       
4144    0.0783607885   0x0140F7   0|000|0001010000...           0.0783605576   2.31e-07       
4145    0.0198395327   0x005143   0|000|0000010100...           0.0198392868   2.46e-07       
4146    -0.1272273064  0x820920   1|000|0010000010...           -0.1272277832  4.77e-07       
4147    0.0218368135   0x005972   0|000|0000010110...           0.0218372345   4.21e-07       
4148    -0.0544957146  0x80DF37   1|000|0000110111...           -0.0544958115  9.69e-08       
4149    -0.1027466431  0x81A4DA   1|000|0001101001...           -0.1027469635  3.20e-07       
4150    0.0391594581   0x00A066   0|000|0000101000...           0.0391597748   3.17e-07       
4151    -0.0300767850  0x807B32   1|000|0000011110...           -0.0300769806  1.96e-07       
4152    -0.0179427005  0x80497E   1|000|0000010010...           -0.0179424286  2.72e-07       
4153    -0.0211433470  0x80569A   1|000|0000010101...           -0.0211429596  3.87e-07       
4154    0.0540396087   0x00DD59   0|000|0000110111...           0.0540399551   3.46e-07       
4155    -0.0146156196  0x803BDE   1|000|0000001110...           -0.0146160126  3.93e-07       
4156    -0.0401129946  0x80A44E   1|000|0000101001...           -0.0401134491  4.54e-07       
4157    0.0663744062   0x010FDF   0|000|0001000011...           0.0663747787   3.73e-07       
