input_gate,forget_gate,cell_gate,output_gate
0.3851524934,0.4620367451,-0.0437231020,0.5719366348
0.3644008021,0.4008921128,-0.0095803916,0.2882303502
0.2427583992,0.3413045224,0.0701068803,0.2407438560
0.5001127463,0.3010078294,-0.0351075262,0.5141624291
0.3840264456,0.5156508230,0.4423190087,0.3941582481
0.2640921452,0.3378082069,-0.0724871433,0.2429056764
0.6835538064,0.8459985863,-0.6204063778,0.3356668089
0.4164240502,0.4469931767,0.1556568768,0.4150638892
0.4025648928,0.3305433906,0.0548053698,0.3877422401
0.2570980716,0.3037867481,-0.1456847442,0.3721005196
0.3877014658,0.3524260321,0.0551842447,0.3919543958
0.3104384884,0.2594709737,0.0729816883,0.2532962695
0.1748676040,0.4885296131,0.1220471170,0.1165581642
0.3678754948,0.4076020219,0.2680781680,0.4054480616
0.4549025498,0.4928208025,0.1205661889,0.5154167377
0.3660042240,0.5366216960,-0.0084481740,0.4046546503
0.1543063612,0.2823517976,0.0073429538,0.1563324994
0.1239436149,0.2299967531,-0.0338302120,0.1474899223
0.5293593066,0.4694063842,0.1114412607,0.5316944464
0.3802117119,0.3562788275,0.1635084713,0.3930522035
0.4875291914,0.4592103565,-0.2858517329,0.5217565366
0.1853663549,0.3283861243,-0.0317466996,0.1979469402
0.4150008417,0.4158661517,0.0784747709,0.4665126560
0.1978685384,0.4473023395,-0.0758931362,0.3145388168
0.1595041611,0.2973389112,-0.5628478428,0.1640074611
0.1958409605,0.3011431825,-0.0672089091,0.3337743324
0.1627644149,0.1607266014,0.1254916289,0.1941468499
0.3162605701,0.3647619486,-0.1088363534,0.3027640731
0.4394670061,0.4317954689,0.0718197479,0.3277702058
0.2092860690,0.3279421370,0.0597417926,0.2666516897
0.2094908772,0.3242168180,0.0250148973,0.1961877967
0.3115033463,0.3402550370,-0.2976993746,0.2767679169
0.3879396197,0.2726066375,-0.0943600953,0.4522956926
0.4389883085,0.5053783648,0.2494274258,0.4365385899
0.0851080598,0.8918949383,-0.1461614374,0.2474992816
0.4070851792,0.3643685624,0.1901773857,0.4331961189
0.2952161117,0.2837776059,-0.2003958843,0.2590391877
0.4747866430,0.4990192167,0.0966610419,0.4981757372
0.4012794556,0.3597351535,0.2271913210,0.3277906931
0.4139709883,0.4762566987,-0.2191734150,0.4618116095
0.2485194218,0.3062374382,0.0371897518,0.2112293516
0.4749780554,0.4347841852,0.0886127273,0.3801809051
0.2511327848,0.3346678852,0.3001641902,0.3344885252
0.1495229174,0.2998767843,-0.0597565859,0.1549428789
0.2794317692,0.2865161589,0.0163664220,0.2335673137
0.4130464691,0.4308744446,0.4449143633,0.3933387807
0.4703411035,0.5317786882,-0.4596264537,0.4501107019
0.3329402183,0.4467693154,-0.0415084731,0.2784343758
0.5206924624,0.5696222966,-0.2041376349,0.3190533583
0.1386427721,0.3082815956,-0.0473774663,0.1602701289
0.4531947845,0.6814175646,0.1073724169,0.5173748922
0.3143690925,0.4310385503,-0.0385813880,0.2688938975
0.1436274789,0.3996497786,0.0173297932,0.2281395695
0.5939231078,0.5346508980,0.0418940065,0.6666227848
0.4904414357,0.4553509776,-0.2102790566,0.4178002521
0.4286285967,0.4159834006,0.3636489531,0.4671648155
0.2748434772,0.3078164043,-0.0490553421,0.2908097550
0.2403081235,0.3535791354,0.0049660365,0.2664459056
0.4781752528,0.4085729679,0.1216621061,0.4821271898
0.1603378509,0.2979704459,-0.3488362112,0.1790813795
0.2430813258,0.4022736260,-0.0260782183,0.4148318158
0.1640901417,0.3281375628,0.0977500155,0.1790331123
0.2488964025,0.4495239384,-0.0002673991,0.2773880278
0.2864299463,0.3323087025,0.1568368812,0.4152292841
0.2290607058,0.3632129613,0.0047380559,0.3049694661
0.4845898257,0.4860660544,0.3187740360,0.4339916938
0.1809456615,0.2806631095,0.0505068239,0.2408486336
0.2216737184,0.2903746400,-0.0541484514,0.2943905331
0.4495933404,0.4754075037,-0.0003175546,0.4071943959
0.4332078920,0.4333753722,0.1317843320,0.5056324521
0.4584096278,0.4828280447,0.2331782499,0.3788968877
0.4300555693,0.3996504643,-0.1030838765,0.4112843121
0.1662653297,0.2584939752,-0.1081794846,0.1345220999
0.3832259794,0.3572183331,-0.1313222371,0.3745183980
0.1923735536,0.3116127742,0.0112367525,0.1985284479
0.2292907271,0.3436910360,0.1374324626,0.3331206418
0.5097807653,0.5888951457,0.2304279805,0.5880061516
0.4428138437,0.4513493488,0.0269383019,0.4504377084
0.4198981540,0.4095147728,0.0817143758,0.3858814101
0.1495822219,0.3298429352,0.0631972051,0.1549432980
0.2017258587,0.2195873664,0.3516087955,0.1800611523
0.2585538707,0.7017287595,-0.0075571866,0.2833707476
0.4053618502,0.4859573284,-0.1638590961,0.4525438360
0.4466321308,0.4711594705,0.2764681431,0.4598511175
0.1410943843,0.3766283106,-0.0051594612,0.1960471765
0.3894985375,0.4134621415,0.0990555569,0.3533476453
0.1222691153,0.2314713140,-0.1355114837,0.1139498992
0.1539924852,0.3093507592,0.1270082603,0.1695441175
0.4643298694,0.4922416483,0.3411821037,0.4658914441
0.4729817506,0.5306109665,-0.4486016956,0.4630907488
0.2441352972,0.3632068338,0.2679037383,0.3303865941
0.1902425976,0.2901309490,0.1404896175,0.2264411769
0.4124275083,0.4237532980,0.2662496629,0.3904351567
0.7638404661,0.6345924255,0.0232167642,0.5216194912
