Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
4307       -0.11166111     FFE3         65507        -0.11328125     1.62014000e-03
4308       -0.13581848     FFDD         65501        -0.13671875     9.00270000e-04
4309       -0.12823397     FFDF         65503        -0.12890625     6.72280000e-04
4400       0.18372330      002F         47           0.18359375      1.29550000e-04
4401       -0.04113921     FFF5         65525        -0.04296875     1.82954000e-03
4402       -0.00662507     FFFE         65534        -0.00781250     1.18743000e-03
4403       0.00842396      0002         2            0.00781250      6.11460000e-04
4404       0.04975427      000D         13           0.05078125      1.02698000e-03
4405       0.09308938      0018         24           0.09375000      6.60620000e-04
4406       -0.02587622     FFF9         65529        -0.02734375     1.46753000e-03
4407       -0.04583415     FFF4         65524        -0.04687500     1.04085000e-03
4408       0.06694689      0011         17           0.06640625      5.40640000e-04
4409       -0.17340863     FFD4         65492        -0.17187500     1.53363000e-03
4500       0.12403040      0020         32           0.12500000      9.69600000e-04
4501       0.05014483      000D         13           0.05078125      6.36420000e-04
4502       -0.18621722     FFD0         65488        -0.18750000     1.28278000e-03
4503       0.13406090      0022         34           0.13281250      1.24840000e-03
4504       0.08989717      0017         23           0.08984375      5.34200000e-05
4505       0.18981783      0031         49           0.19140625      1.58842000e-03
4506       -0.13490158     FFDD         65501        -0.13671875     1.81717000e-03
4507       -0.18269479     FFD1         65489        -0.18359375     8.98960000e-04
4508       0.05883426      000F         15           0.05859375      2.40510000e-04
4509       -0.02401063     FFFA         65530        -0.02343750     5.73130000e-04
4600       0.06756548      0011         17           0.06640625      1.15923000e-03
4601       0.02637198      0007         7            0.02734375      9.71770000e-04
4602       -0.06777202     FFEF         65519        -0.06640625     1.36577000e-03
4603       0.10094932      001A         26           0.10156250      6.13180000e-04
4604       0.17400014      002D         45           0.17578125      1.78111000e-03
4605       0.16668865      002B         43           0.16796875      1.28010000e-03
4606       -0.02225138     FFFA         65530        -0.02343750     1.18612000e-03
4607       -0.00480895     FFFF         65535        -0.00390625     9.02700000e-04
4608       0.01175924      0003         3            0.01171875      4.04900000e-05
4609       0.03695657      0009         9            0.03515625      1.80032000e-03
4700       0.17739230      002D         45           0.17578125      1.61105000e-03
4701       0.09318028      0018         24           0.09375000      5.69720000e-04
4702       0.19088563      0031         49           0.19140625      5.20620000e-04
4703       0.09293512      0018         24           0.09375000      8.14880000e-04
4704       0.09827410      0019         25           0.09765625      6.17850000e-04
4705       0.08899923      0017         23           0.08984375      8.44520000e-04
4706       -0.17258799     FFD4         65492        -0.17187500     7.12990000e-04
4707       -0.04665534     FFF4         65524        -0.04687500     2.19660000e-04
4708       -0.00433624     FFFF         65535        -0.00390625     4.29990000e-04
4709       -0.22749972     FFC6         65478        -0.22656250     9.37220000e-04
4800       0.17656223      002D         45           0.17578125      7.80980000e-04
4801       0.08264595      0015         21           0.08203125      6.14700000e-04
4802       0.28148848      0048         72           0.28125000      2.38480000e-04
4803       0.09854720      0019         25           0.09765625      8.90950000e-04
4804       0.05044241      000D         13           0.05078125      3.38840000e-04
4805       0.13693579      0023         35           0.13671875      2.17040000e-04
4806       -0.03002255     FFF8         65528        -0.03125000     1.22745000e-03
4807       0.04263727      000B         11           0.04296875      3.31480000e-04
4808       0.31244823      0050         80           0.31250000      5.17700000e-05
4809       -0.11449096     FFE3         65507        -0.11328125     1.20971000e-03
4900       0.03713190      000A         10           0.03906250      1.93060000e-03
4901       -0.06422959     FFF0         65520        -0.06250000     1.72959000e-03
4902       -0.10562544     FFE5         65509        -0.10546875     1.56690000e-04
4903       0.02446819      0006         6            0.02343750      1.03069000e-03
4904       0.14796060      0026         38           0.14843750      4.76900000e-04
4905       0.00142536      0000         0            0.00000000      1.42536000e-03
4906       -0.07921182     FFEC         65516        -0.07812500     1.08682000e-03
4907       -0.08276356     FFEB         65515        -0.08203125     7.32310000e-04
4908       -0.02281613     FFFA         65530        -0.02343750     6.21370000e-04
4909       -0.29219064     FFB5         65461        -0.29296875     7.78110000e-04
5000       0.04481745      000B         11           0.04296875      1.84870000e-03
5001       0.06841879      0012         18           0.07031250      1.89371000e-03
5002       -0.06054021     FFF1         65521        -0.05859375     1.94646000e-03
5003       0.00916385      0002         2            0.00781250      1.35135000e-03
5004       -0.09484478     FFE8         65512        -0.09375000     1.09478000e-03
5005       -0.02008583     FFFB         65531        -0.01953125     5.54580000e-04
5006       -0.09477214     FFE8         65512        -0.09375000     1.02214000e-03
5007       0.07210313      0012         18           0.07031250      1.79063000e-03
5008       -0.06811959     FFEF         65519        -0.06640625     1.71334000e-03
5009       -0.01747313     FFFC         65532        -0.01562500     1.84813000e-03
5100       0.01882903      0005         5            0.01953125      7.02220000e-04
5101       0.08449567      0016         22           0.08593750      1.44183000e-03
5102       -0.02860373     FFF9         65529        -0.02734375     1.25998000e-03
5103       0.09978500      001A         26           0.10156250      1.77750000e-03
5104       0.10556806      001B         27           0.10546875      9.93100000e-05
5105       0.14296098      0025         37           0.14453125      1.57027000e-03
5106       0.00751808      0002         2            0.00781250      2.94420000e-04
5107       -0.12520240     FFE0         65504        -0.12500000     2.02400000e-04
5108       0.03262318      0008         8            0.03125000      1.37318000e-03
5109       -0.14290376     FFDB         65499        -0.14453125     1.62749000e-03
5200       -0.04302854     FFF5         65525        -0.04296875     5.97900000e-05
5201       0.06018179      000F         15           0.05859375      1.58804000e-03
5202       -0.12071540     FFE1         65505        -0.12109375     3.78350000e-04
5203       -0.04467863     FFF5         65525        -0.04296875     1.70988000e-03
5204       0.14332761      0025         37           0.14453125      1.20364000e-03
5205       -0.07837477     FFEC         65516        -0.07812500     2.49770000e-04
5206       -0.12425236     FFE0         65504        -0.12500000     7.47640000e-04
5207       -0.12168939     FFE1         65505        -0.12109375     5.95640000e-04
5208       -0.07321630     FFED         65517        -0.07421875     1.00245000e-03
5209       -0.13169102     FFDE         65502        -0.13281250     1.12148000e-03
5300       0.13611846      0023         35           0.13671875      6.00290000e-04
5301       -0.03116921     FFF8         65528        -0.03125000     8.07900000e-05
5302       0.15391584      0027         39           0.15234375      1.57209000e-03
5303       -0.02934614     FFF8         65528        -0.03125000     1.90386000e-03
5304       0.29325584      004B         75           0.29296875      2.87090000e-04
5305       0.15884419      0029         41           0.16015625      1.31206000e-03
5306       0.04872758      000C         12           0.04687500      1.85258000e-03
5307       0.25032306      0040         64           0.25000000      3.23060000e-04
5308       0.00525426      0001         1            0.00390625      1.34801000e-03
5309       0.12354082      0020         32           0.12500000      1.45918000e-03
5400       0.18230799      002F         47           0.18359375      1.28576000e-03
5401       0.05957737      000F         15           0.05859375      9.83620000e-04
5402       -0.00549443     FFFF         65535        -0.00390625     1.58818000e-03
5403       -0.06551491     FFEF         65519        -0.06640625     8.91340000e-04
5404       0.22788602      003A         58           0.22656250      1.32352000e-03
5405       -0.00307951     FFFF         65535        -0.00390625     8.26740000e-04
5406       -0.11169401     FFE3         65507        -0.11328125     1.58724000e-03
5407       0.04333780      000B         11           0.04296875      3.69050000e-04
5408       0.10114664      001A         26           0.10156250      4.15860000e-04
5409       -0.06313691     FFF0         65520        -0.06250000     6.36910000e-04
5500       -0.05653935     FFF2         65522        -0.05468750     1.85185000e-03
5501       0.04186716      000B         11           0.04296875      1.10159000e-03
5502       -0.05151509     FFF3         65523        -0.05078125     7.33840000e-04
5503       -0.00009638     0000         0            0.00000000      9.63800000e-05
5504       0.18525523      002F         47           0.18359375      1.66148000e-03
5505       0.01989411      0005         5            0.01953125      3.62860000e-04
5506       -0.14863494     FFDA         65498        -0.14843750     1.97440000e-04
5507       -0.06165049     FFF0         65520        -0.06250000     8.49510000e-04
5508       0.02237232      0006         6            0.02343750      1.06518000e-03
5509       -0.00623061     FFFE         65534        -0.00781250     1.58189000e-03
5600       -0.09255911     FFE8         65512        -0.09375000     1.19089000e-03
5601       -0.03238758     FFF8         65528        -0.03125000     1.13758000e-03
5602       -0.03509013     FFF7         65527        -0.03515625     6.61200000e-05
5603       -0.03635791     FFF7         65527        -0.03515625     1.20166000e-03
5604       0.40115830      0067         103          0.40234375      1.18545000e-03
5605       -0.12707298     FFDF         65503        -0.12890625     1.83327000e-03
5606       -0.04768710     FFF4         65524        -0.04687500     8.12100000e-04
5607       0.09763138      0019         25           0.09765625      2.48700000e-05
5608       -0.18280332     FFD1         65489        -0.18359375     7.90430000e-04
5609       -0.30741155     FFB1         65457        -0.30859375     1.18220000e-03
5700       0.12707339      0021         33           0.12890625      1.83286000e-03
5701       0.08330727      0015         21           0.08203125      1.27602000e-03
5702       -0.11829287     FFE2         65506        -0.11718750     1.10537000e-03
5703       0.15364674      0027         39           0.15234375      1.30299000e-03
5704       0.11200629      001D         29           0.11328125      1.27496000e-03
5705       0.02949440      0008         8            0.03125000      1.75560000e-03
5706       -0.05070179     FFF3         65523        -0.05078125     7.94600000e-05
5707       -0.03812614     FFF6         65526        -0.03906250     9.36360000e-04
5708       -0.15102464     FFD9         65497        -0.15234375     1.31911000e-03
5709       -0.16339813     FFD6         65494        -0.16406250     6.64370000e-04
5800       0.05748874      000F         15           0.05859375      1.10501000e-03
5801       0.05531420      000E         14           0.05468750      6.26700000e-04
5802       0.04354669      000B         11           0.04296875      5.77940000e-04
5803       0.09323683      0018         24           0.09375000      5.13170000e-04
5804       0.32099617      0052         82           0.32031250      6.83670000e-04
5805       0.14077544      0024         36           0.14062500      1.50440000e-04
5806       -0.09254532     FFE8         65512        -0.09375000     1.20468000e-03
5807       -0.00165709     0000         0            0.00000000      1.65709000e-03
5808       0.11417636      001D         29           0.11328125      8.95110000e-04
5809       -0.06901838     FFEE         65518        -0.07031250     1.29412000e-03
5900       -0.30763969     FFB1         65457        -0.30859375     9.54060000e-04
5901       0.25253418      0041         65           0.25390625      1.37207000e-03
5902       -0.21017490     FFCA         65482        -0.21093750     7.62600000e-04
5903       0.16879164      002B         43           0.16796875      8.22890000e-04
5904       0.05066602      000D         13           0.05078125      1.15230000e-04
5905       -0.12546623     FFE0         65504        -0.12500000     4.66230000e-04
5906       -0.26374307     FFBC         65468        -0.26562500     1.88193000e-03
5907       -0.15921168     FFD7         65495        -0.16015625     9.44570000e-04
5908       -0.03256913     FFF8         65528        -0.03125000     1.31913000e-03
5909       -0.44613102     FF8E         65422        -0.44531250     8.18520000e-04
6000       0.45134959      0074         116          0.45312500      1.77541000e-03
6001       0.08907627      0017         23           0.08984375      7.67480000e-04
6002       0.06666102      0011         17           0.06640625      2.54770000e-04
6003       0.11734825      001E         30           0.11718750      1.60750000e-04
6004       0.29403070      004B         75           0.29296875      1.06195000e-03
6005       0.39858174      0066         102          0.39843750      1.44240000e-04
6006       -0.20585398     FFCB         65483        -0.20703125     1.17727000e-03
6007       -0.04082804     FFF6         65526        -0.03906250     1.76554000e-03
6008       0.21394069      0037         55           0.21484375      9.03060000e-04
6009       -0.40212312     FF99         65433        -0.40234375     2.20630000e-04
6100       -0.06553513     FFEF         65519        -0.06640625     8.71120000e-04
6101       -0.00749113     FFFE         65534        -0.00781250     3.21370000e-04
6102       -0.34516561     FFA8         65448        -0.34375000     1.41561000e-03
6103       0.04996666      000D         13           0.05078125      8.14590000e-04
6104       -0.03004727     FFF8         65528        -0.03125000     1.20273000e-03
6105       0.09093364      0017         23           0.08984375      1.08989000e-03
6106       -0.00360913     FFFF         65535        -0.00390625     2.97120000e-04
6107       -0.10640783     FFE5         65509        -0.10546875     9.39080000e-04
6108       -0.06721674     FFEF         65519        -0.06640625     8.10490000e-04
6109       -0.21670623     FFC9         65481        -0.21484375     1.86248000e-03
6200       -0.03166294     FFF8         65528        -0.03125000     4.12940000e-04
6201       0.36716631      005E         94           0.36718750      2.11900000e-05
6202       -0.24425884     FFC1         65473        -0.24609375     1.83491000e-03
6203       0.42299661      006C         108          0.42187500      1.12161000e-03
6204       0.28017691      0048         72           0.28125000      1.07309000e-03
6205       0.01277454      0003         3            0.01171875      1.05579000e-03
6206       -0.14522892     FFDB         65499        -0.14453125     6.97670000e-04
6207       0.15868138      0029         41           0.16015625      1.47487000e-03
6208       -0.21069445     FFCA         65482        -0.21093750     2.43050000e-04
6209       -0.19142154     FFCF         65487        -0.19140625     1.52900000e-05
6300       0.41480067      006A         106          0.41406250      7.38170000e-04
6301       0.06407567      0010         16           0.06250000      1.57567000e-03
6302       -0.22771223     FFC6         65478        -0.22656250     1.14973000e-03
6303       0.01037354      0003         3            0.01171875      1.34521000e-03
6304       0.34515211      0058         88           0.34375000      1.40211000e-03
6305       -0.14388810     FFDB         65499        -0.14453125     6.43150000e-04
6306       0.00112005      0000         0            0.00000000      1.12005000e-03
6307       -0.03378621     FFF7         65527        -0.03515625     1.37004000e-03
6308       -0.34575468     FFA7         65447        -0.34765625     1.90157000e-03
6309       -0.13339192     FFDE         65502        -0.13281250     5.79420000e-04
6400       0.08105128      0015         21           0.08203125      9.79970000e-04
6401       -0.01920060     FFFB         65531        -0.01953125     3.30650000e-04
6402       -0.08045339     FFEB         65515        -0.08203125     1.57786000e-03
6403       -0.00738734     FFFE         65534        -0.00781250     4.25160000e-04
6404       0.18931989      0030         48           0.18750000      1.81989000e-03
6405       -0.03752338     FFF6         65526        -0.03906250     1.53912000e-03
6406       -0.15126431     FFD9         65497        -0.15234375     1.07944000e-03
6407       -0.15766692     FFD8         65496        -0.15625000     1.41692000e-03
6408       -0.04558037     FFF4         65524        -0.04687500     1.29463000e-03
6409       -0.11715309     FFE2         65506        -0.11718750     3.44100000e-05
6500       0.13471773      0022         34           0.13281250      1.90523000e-03
6501       0.08875793      0017         23           0.08984375      1.08582000e-03
6502       -0.02893731     FFF9         65529        -0.02734375     1.59356000e-03
6503       -0.07882092     FFEC         65516        -0.07812500     6.95920000e-04
6504       0.24588589      003F         63           0.24609375      2.07860000e-04
6505       0.03154611      0008         8            0.03125000      2.96110000e-04
6506       -0.09602688     FFE7         65511        -0.09765625     1.62937000e-03
6507       -0.11651959     FFE2         65506        -0.11718750     6.67910000e-04
6508       -0.06442985     FFF0         65520        -0.06250000     1.92985000e-03
6509       0.02784263      0007         7            0.02734375      4.98880000e-04
6600       0.12052502      001F         31           0.12109375      5.68730000e-04
6601       0.04762429      000C         12           0.04687500      7.49290000e-04
6602       -0.14792496     FFDA         65498        -0.14843750     5.12540000e-04
6603       0.07290947      0013         19           0.07421875      1.30928000e-03
6604       0.12067704      001F         31           0.12109375      4.16710000e-04
6605       0.00338544      0001         1            0.00390625      5.20810000e-04
6606       -0.18070285     FFD2         65490        -0.17968750     1.01535000e-03
6607       -0.09693668     FFE7         65511        -0.09765625     7.19570000e-04
6608       -0.07049767     FFEE         65518        -0.07031250     1.85170000e-04
6609       -0.17100327     FFD4         65492        -0.17187500     8.71730000e-04
6700       0.14049236      0024         36           0.14062500      1.32640000e-04
6701       -0.00200619     FFFF         65535        -0.00390625     1.90006000e-03
6702       -0.04080603     FFF6         65526        -0.03906250     1.74353000e-03
6703       0.11545140      001E         30           0.11718750      1.73610000e-03
6704       0.16089232      0029         41           0.16015625      7.36070000e-04
6705       0.16250631      002A         42           0.16406250      1.55619000e-03
6706       -0.00661338     FFFE         65534        -0.00781250     1.19912000e-03
6707       0.01645727      0004         4            0.01562500      8.32270000e-04
6708       -0.02306131     FFFA         65530        -0.02343750     3.76190000e-04
6709       -0.13826559     FFDD         65501        -0.13671875     1.54684000e-03
6800       0.00084007      0000         0            0.00000000      8.40070000e-04
6801       0.06100362      0010         16           0.06250000      1.49638000e-03
6802       0.08491667      0016         22           0.08593750      1.02083000e-03
6803       -0.04468034     FFF5         65525        -0.04296875     1.71159000e-03
6804       0.27542359      0047         71           0.27734375      1.92016000e-03
6805       0.05144563      000D         13           0.05078125      6.64380000e-04
6806       0.00131828      0000         0            0.00000000      1.31828000e-03
6807       0.09397820      0018         24           0.09375000      2.28200000e-04
6808       -0.14506239     FFDB         65499        -0.14453125     5.31140000e-04
6809       -0.09900970     FFE7         65511        -0.09765625     1.35345000e-03
6900       0.31838959      0052         82           0.32031250      1.92291000e-03
6901       0.11577888      001E         30           0.11718750      1.40862000e-03
6902       0.09547403      0018         24           0.09375000      1.72403000e-03
6903       0.00633758      0002         2            0.00781250      1.47492000e-03
6904       0.37621203      0060         96           0.37500000      1.21203000e-03
6905       0.22288790      0039         57           0.22265625      2.31650000e-04
6906       -0.03461242     FFF7         65527        -0.03515625     5.43830000e-04
6907       0.12508622      0020         32           0.12500000      8.62200000e-05
6908       0.11259543      001D         29           0.11328125      6.85820000e-04
6909       -0.11783306     FFE2         65506        -0.11718750     6.45560000e-04
7000       -0.03262467     FFF8         65528        -0.03125000     1.37467000e-03
7001       0.13613822      0023         35           0.13671875      5.80530000e-04
7002       -0.13966352     FFDC         65500        -0.14062500     9.61480000e-04
7003       0.08409717      0016         22           0.08593750      1.84033000e-03
7004       0.02113022      0005         5            0.01953125      1.59897000e-03
7005       0.07750902      0014         20           0.07812500      6.15980000e-04
7006       -0.04172608     FFF5         65525        -0.04296875     1.24267000e-03
7007       -0.07278723     FFED         65517        -0.07421875     1.43152000e-03
7008       0.01888752      0005         5            0.01953125      6.43730000e-04
7009       -0.13102286     FFDE         65502        -0.13281250     1.78964000e-03
7100       0.01049469      0003         3            0.01171875      1.22406000e-03
7101       -0.01093405     FFFD         65533        -0.01171875     7.84700000e-04
7102       -0.00209825     FFFF         65535        -0.00390625     1.80800000e-03
7103       0.09962256      001A         26           0.10156250      1.93994000e-03
7104       0.17737876      002D         45           0.17578125      1.59751000e-03
7105       0.02269006      0006         6            0.02343750      7.47440000e-04
7106       0.01123874      0003         3            0.01171875      4.80010000e-04
7107       -0.00275632     FFFF         65535        -0.00390625     1.14993000e-03
7108       -0.03474507     FFF7         65527        -0.03515625     4.11180000e-04
7109       0.00006566      0000         0            0.00000000      6.56600000e-05
7200       0.10456775      001B         27           0.10546875      9.01000000e-04
7201       -0.18756863     FFD0         65488        -0.18750000     6.86300000e-05
7202       -0.10178470     FFE6         65510        -0.10156250     2.22200000e-04
7203       -0.11212573     FFE3         65507        -0.11328125     1.15552000e-03
7204       -0.04902221     FFF3         65523        -0.05078125     1.75904000e-03
7205       0.18408871      002F         47           0.18359375      4.94960000e-04
7206       0.00883877      0002         2            0.00781250      1.02627000e-03
7207       -0.05907860     FFF1         65521        -0.05859375     4.84850000e-04
7208       0.00101271      0000         0            0.00000000      1.01271000e-03
7209       -0.14732932     FFDA         65498        -0.14843750     1.10818000e-03
7300       0.05317234      000E         14           0.05468750      1.51516000e-03
7301       0.11774474      001E         30           0.11718750      5.57240000e-04
7302       -0.10680269     FFE5         65509        -0.10546875     1.33394000e-03
7303       0.05020631      000D         13           0.05078125      5.74940000e-04
7304       0.16812482      002B         43           0.16796875      1.56070000e-04
7305       0.14237833      0024         36           0.14062500      1.75333000e-03
7306       0.04127735      000B         11           0.04296875      1.69140000e-03
7307       -0.02800240     FFF9         65529        -0.02734375     6.58650000e-04
7308       -0.00189378     0000         0            0.00000000      1.89378000e-03
7309       -0.06353144     FFF0         65520        -0.06250000     1.03144000e-03
7400       0.06973229      0012         18           0.07031250      5.80210000e-04
7401       0.10848165      001C         28           0.10937500      8.93350000e-04
7402       -0.00446850     FFFF         65535        -0.00390625     5.62250000e-04
7403       -0.01459073     FFFC         65532        -0.01562500     1.03427000e-03
7404       0.08124267      0015         21           0.08203125      7.88580000e-04
7405       0.04507910      000C         12           0.04687500      1.79590000e-03
7406       -0.08737792     FFEA         65514        -0.08593750     1.44042000e-03
7407       0.00078053      0000         0            0.00000000      7.80530000e-04
7408       0.01921747      0005         5            0.01953125      3.13780000e-04
7409       -0.14515895     FFDB         65499        -0.14453125     6.27700000e-04
7500       0.10962693      001C         28           0.10937500      2.51930000e-04
7501       0.02577645      0007         7            0.02734375      1.56730000e-03
7502       -0.20205538     FFCC         65484        -0.20312500     1.06962000e-03
7503       -0.06364554     FFF0         65520        -0.06250000     1.14554000e-03
7504       0.23170826      003B         59           0.23046875      1.23951000e-03
7505       0.19835290      0033         51           0.19921875      8.65850000e-04
7506       -0.17204821     FFD4         65492        -0.17187500     1.73210000e-04
7507       -0.09141669     FFE9         65513        -0.08984375     1.57294000e-03
7508       0.05280754      000E         14           0.05468750      1.87996000e-03
7509       -0.26273501     FFBD         65469        -0.26171875     1.01626000e-03
7600       0.13682230      0023         35           0.13671875      1.03550000e-04
7601       -0.00718631     FFFE         65534        -0.00781250     6.26190000e-04
7602       0.42899337      006E         110          0.42968750      6.94130000e-04
7603       -0.00518377     FFFF         65535        -0.00390625     1.27752000e-03
7604       0.07522327      0013         19           0.07421875      1.00452000e-03
7605       0.00437565      0001         1            0.00390625      4.69400000e-04
7606       -0.03864853     FFF6         65526        -0.03906250     4.13970000e-04
7607       0.09321352      0018         24           0.09375000      5.36480000e-04
7608       -0.02301112     FFFA         65530        -0.02343750     4.26380000e-04
7609       0.00471505      0001         1            0.00390625      8.08800000e-04
7700       0.18351951      002F         47           0.18359375      7.42400000e-05
7701       0.08602537      0016         22           0.08593750      8.78700000e-05
7702       0.15637140      0028         40           0.15625000      1.21400000e-04
7703       0.14196531      0024         36           0.14062500      1.34031000e-03
7704       0.11087413      001C         28           0.10937500      1.49913000e-03
7705       -0.00675266     FFFE         65534        -0.00781250     1.05984000e-03
7706       -0.09582800     FFE7         65511        -0.09765625     1.82825000e-03
7707       0.01618749      0004         4            0.01562500      5.62490000e-04
7708       0.03427434      0009         9            0.03515625      8.81910000e-04
7709       -0.23678106     FFC3         65475        -0.23828125     1.50019000e-03
7800       -0.01065044     FFFD         65533        -0.01171875     1.06831000e-03
7801       -0.03945936     FFF6         65526        -0.03906250     3.96860000e-04
7802       0.00703303      0002         2            0.00781250      7.79470000e-04
7803       0.12947518      0021         33           0.12890625      5.68930000e-04
7804       0.25761110      0042         66           0.25781250      2.01400000e-04
7805       0.00032955      0000         0            0.00000000      3.29550000e-04
7806       -0.14055996     FFDC         65500        -0.14062500     6.50400000e-05
7807       -0.16442832     FFD6         65494        -0.16406250     3.65820000e-04
7808       0.10575044      001B         27           0.10546875      2.81690000e-04
7809       -0.08368371     FFEB         65515        -0.08203125     1.65246000e-03
7900       0.08708140      0016         22           0.08593750      1.14390000e-03
7901       0.16776590      002B         43           0.16796875      2.02850000e-04
7902       -0.17216891     FFD4         65492        -0.17187500     2.93910000e-04
7903       0.14228991      0024         36           0.14062500      1.66491000e-03
7904       0.07349195      0013         19           0.07421875      7.26800000e-04
7905       0.14479685      0025         37           0.14453125      2.65600000e-04
7906       -0.09533315     FFE8         65512        -0.09375000     1.58315000e-03
7907       -0.01703093     FFFC         65532        -0.01562500     1.40593000e-03
7908       0.12373947      0020         32           0.12500000      1.26053000e-03
7909       -0.22131850     FFC7         65479        -0.22265625     1.33775000e-03
8000       0.17263050      002C         44           0.17187500      7.55500000e-04
8001       0.03927954      000A         10           0.03906250      2.17040000e-04
8002       -0.29351655     FFB5         65461        -0.29296875     5.47800000e-04
8003       0.02363355      0006         6            0.02343750      1.96050000e-04
8004       0.03452642      0009         9            0.03515625      6.29830000e-04
8005       0.10960546      001C         28           0.10937500      2.30460000e-04
8006       -0.02062643     FFFB         65531        -0.01953125     1.09518000e-03
8007       -0.16149111     FFD7         65495        -0.16015625     1.33486000e-03
8008       0.10509331      001B         27           0.10546875      3.75440000e-04
8009       -0.17978165     FFD2         65490        -0.17968750     9.41500000e-05
8100       0.08562833      0016         22           0.08593750      3.09170000e-04
8101       -0.01049955     FFFD         65533        -0.01171875     1.21920000e-03
8102       0.25605440      0042         66           0.25781250      1.75810000e-03
8103       -0.16927831     FFD5         65493        -0.16796875     1.30956000e-03
8104       0.10137373      001A         26           0.10156250      1.88770000e-04
8105       0.05114663      000D         13           0.05078125      3.65380000e-04
8106       -0.04084674     FFF6         65526        -0.03906250     1.78424000e-03
8107       -0.00780743     FFFE         65534        -0.00781250     5.07000000e-06
8108       -0.02184898     FFFA         65530        -0.02343750     1.58852000e-03
8109       -0.16057591     FFD7         65495        -0.16015625     4.19660000e-04
8200       -0.04501683     FFF4         65524        -0.04687500     1.85817000e-03
8201       -0.08984880     FFE9         65513        -0.08984375     5.05000000e-06
8202       -0.05589708     FFF2         65522        -0.05468750     1.20958000e-03
8203       0.08196162      0015         21           0.08203125      6.96300000e-05
8204       0.18253659      002F         47           0.18359375      1.05716000e-03
8205       0.09274472      0018         24           0.09375000      1.00528000e-03
8206       -0.10478164     FFE5         65509        -0.10546875     6.87110000e-04
8207       -0.10918376     FFE4         65508        -0.10937500     1.91240000e-04
8208       0.02608047      0007         7            0.02734375      1.26328000e-03
8209       0.03242565      0008         8            0.03125000      1.17565000e-03
8300       0.14360170      0025         37           0.14453125      9.29550000e-04
8301       -0.07745080     FFEC         65516        -0.07812500     6.74200000e-04
8302       0.05413199      000E         14           0.05468750      5.55510000e-04
8303       0.07221086      0012         18           0.07031250      1.89836000e-03
8304       0.28057972      0048         72           0.28125000      6.70280000e-04
8305       0.14897050      0026         38           0.14843750      5.33000000e-04
8306       0.03538261      0009         9            0.03515625      2.26360000e-04
8307       -0.15418875     FFD9         65497        -0.15234375     1.84500000e-03
8308       0.06489704      0011         17           0.06640625      1.50921000e-03
8309       0.00602387      0002         2            0.00781250      1.78863000e-03
8400       0.03813603      000A         10           0.03906250      9.26470000e-04
8401       -0.06509183     FFEF         65519        -0.06640625     1.31442000e-03
8402       -0.07160427     FFEE         65518        -0.07031250     1.29177000e-03
8403       -0.14287469     FFDB         65499        -0.14453125     1.65656000e-03
8404       0.20365313      0034         52           0.20312500      5.28130000e-04
8405       -0.16155230     FFD7         65495        -0.16015625     1.39605000e-03
8406       -0.09238188     FFE8         65512        -0.09375000     1.36812000e-03
8407       0.03356209      0009         9            0.03515625      1.59416000e-03
8408       -0.02677137     FFF9         65529        -0.02734375     5.72380000e-04
8409       -0.16153696     FFD7         65495        -0.16015625     1.38071000e-03
8500       0.04151769      000B         11           0.04296875      1.45106000e-03
8501       -0.04350553     FFF5         65525        -0.04296875     5.36780000e-04
8502       0.00489691      0001         1            0.00390625      9.90660000e-04
8503       -0.05278645     FFF2         65522        -0.05468750     1.90105000e-03
8504       0.24221404      003E         62           0.24218750      2.65400000e-05
8505       0.15824077      0029         41           0.16015625      1.91548000e-03
8506       -0.00852098     FFFE         65534        -0.00781250     7.08480000e-04
8507       0.02192760      0006         6            0.02343750      1.50990000e-03
8508       0.01848006      0005         5            0.01953125      1.05119000e-03
8509       -0.18037097     FFD2         65490        -0.17968750     6.83470000e-04
8600       0.21245675      0036         54           0.21093750      1.51925000e-03
8601       0.05420475      000E         14           0.05468750      4.82750000e-04
8602       -0.33535725     FFAA         65450        -0.33593750     5.80250000e-04
8603       0.09633257      0019         25           0.09765625      1.32368000e-03
8604       0.04459355      000B         11           0.04296875      1.62480000e-03
8605       0.11575522      001E         30           0.11718750      1.43228000e-03
8606       -0.03952154     FFF6         65526        -0.03906250     4.59040000e-04
8607       -0.15185113     FFD9         65497        -0.15234375     4.92620000e-04
8608       0.14322303      0025         37           0.14453125      1.30822000e-03
8609       -0.27020305     FFBB         65467        -0.26953125     6.71800000e-04
8700       0.13997841      0024         36           0.14062500      6.46590000e-04
8701       0.01253336      0003         3            0.01171875      8.14610000e-04
8702       -0.15857467     FFD7         65495        -0.16015625     1.58158000e-03
8703       0.00536623      0001         1            0.00390625      1.45998000e-03
8704       0.11344749      001D         29           0.11328125      1.66240000e-04
8705       -0.10413941     FFE5         65509        -0.10546875     1.32934000e-03
8706       -0.01715462     FFFC         65532        -0.01562500     1.52962000e-03
8707       -0.09248770     FFE8         65512        -0.09375000     1.26230000e-03
8708       0.02211120      0006         6            0.02343750      1.32630000e-03
8709       -0.23110625     FFC5         65477        -0.23046875     6.37500000e-04
8800       0.12321965      0020         32           0.12500000      1.78035000e-03
8801       -0.02757831     FFF9         65529        -0.02734375     2.34560000e-04
