Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
1003       -0.00237940     FFFF         65535        -0.00390625     1.52685000e-03
1004       0.16427238      002A         42           0.16406250      2.09880000e-04
1005       0.02564976      0007         7            0.02734375      1.69399000e-03
1006       0.08218248      0015         21           0.08203125      1.51230000e-04
1007       0.04137135      000B         11           0.04296875      1.59740000e-03
1008       -0.07036798     FFEE         65518        -0.07031250     5.54800000e-05
1009       -0.22117247     FFC7         65479        -0.22265625     1.48378000e-03
1100       0.14977068      0026         38           0.14843750      1.33318000e-03
1101       0.04574159      000C         12           0.04687500      1.13341000e-03
1102       -0.05604334     FFF2         65522        -0.05468750     1.35584000e-03
1103       0.00767311      0002         2            0.00781250      1.39390000e-04
1104       0.10980036      001C         28           0.10937500      4.25360000e-04
1105       0.11475955      001D         29           0.11328125      1.47830000e-03
1106       -0.21401829     FFC9         65481        -0.21484375     8.25460000e-04
1107       -0.12029668     FFE1         65505        -0.12109375     7.97070000e-04
1108       0.12821232      0021         33           0.12890625      6.93930000e-04
1109       -0.18109721     FFD2         65490        -0.17968750     1.40971000e-03
1200       -0.18500863     FFD1         65489        -0.18359375     1.41488000e-03
1201       0.29075399      004A         74           0.28906250      1.69149000e-03
1202       -0.16654763     FFD5         65493        -0.16796875     1.42112000e-03
1203       0.32048562      0052         82           0.32031250      1.73120000e-04
1204       0.07011218      0012         18           0.07031250      2.00320000e-04
1205       -0.04063350     FFF6         65526        -0.03906250     1.57100000e-03
1206       -0.18919274     FFD0         65488        -0.18750000     1.69274000e-03
1207       -0.09924025     FFE7         65511        -0.09765625     1.58400000e-03
1208       -0.06507498     FFEF         65519        -0.06640625     1.33127000e-03
1209       -0.41326806     FF96         65430        -0.41406250     7.94440000e-04
1300       0.05548077      000E         14           0.05468750      7.93270000e-04
1301       -0.05301346     FFF2         65522        -0.05468750     1.67404000e-03
1302       -0.12003373     FFE1         65505        -0.12109375     1.06002000e-03
1303       0.02862478      0007         7            0.02734375      1.28103000e-03
1304       0.25436637      0041         65           0.25390625      4.60120000e-04
1305       0.08107160      0015         21           0.08203125      9.59650000e-04
1306       -0.00023201     0000         0            0.00000000      2.32010000e-04
1307       -0.11669962     FFE2         65506        -0.11718750     4.87880000e-04
1308       0.05895380      000F         15           0.05859375      3.60050000e-04
1309       -0.05945273     FFF1         65521        -0.05859375     8.58980000e-04
1400       -0.04198626     FFF5         65525        -0.04296875     9.82490000e-04
1401       0.09531565      0018         24           0.09375000      1.56565000e-03
1402       0.02740388      0007         7            0.02734375      6.01300000e-05
1403       0.01575837      0004         4            0.01562500      1.33370000e-04
1404       0.24757951      003F         63           0.24609375      1.48576000e-03
1405       0.13624138      0023         35           0.13671875      4.77370000e-04
1406       -0.05797392     FFF1         65521        -0.05859375     6.19830000e-04
1407       -0.02659411     FFF9         65529        -0.02734375     7.49640000e-04
1408       0.07684442      0014         20           0.07812500      1.28058000e-03
1409       0.01287186      0003         3            0.01171875      1.15311000e-03
1500       0.16534191      002A         42           0.16406250      1.27941000e-03
1501       0.19139174      0031         49           0.19140625      1.45100000e-05
1502       0.17059758      002C         44           0.17187500      1.27742000e-03
1503       0.00807036      0002         2            0.00781250      2.57860000e-04
1504       0.31186482      0050         80           0.31250000      6.35180000e-04
1505       0.04643434      000C         12           0.04687500      4.40660000e-04
1506       -0.08921096     FFE9         65513        -0.08984375     6.32790000e-04
1507       0.12530273      0020         32           0.12500000      3.02730000e-04
1508       -0.01091492     FFFD         65533        -0.01171875     8.03830000e-04
1509       -0.12107403     FFE1         65505        -0.12109375     1.97200000e-05
1600       0.17258877      002C         44           0.17187500      7.13770000e-04
1601       0.04791195      000C         12           0.04687500      1.03695000e-03
1602       -0.15646996     FFD8         65496        -0.15625000     2.19960000e-04
1603       0.06947032      0012         18           0.07031250      8.42180000e-04
1604       0.20518334      0035         53           0.20703125      1.84791000e-03
1605       -0.09919377     FFE7         65511        -0.09765625     1.53752000e-03
1606       -0.14083225     FFDC         65500        -0.14062500     2.07250000e-04
1607       0.01535239      0004         4            0.01562500      2.72610000e-04
1608       -0.04125050     FFF5         65525        -0.04296875     1.71825000e-03
1609       -0.25201684     FFBF         65471        -0.25390625     1.88941000e-03
1700       0.20608483      0035         53           0.20703125      9.46420000e-04
1701       0.05293098      000E         14           0.05468750      1.75652000e-03
1702       -0.24343644     FFC2         65474        -0.24218750     1.24894000e-03
1703       -0.01617012     FFFC         65532        -0.01562500     5.45120000e-04
1704       0.22024888      0038         56           0.21875000      1.49888000e-03
1705       0.19785430      0033         51           0.19921875      1.36445000e-03
1706       0.03328384      0009         9            0.03515625      1.87241000e-03
1707       -0.06527659     FFEF         65519        -0.06640625     1.12966000e-03
1708       0.22280137      0039         57           0.22265625      1.45120000e-04
1709       -0.21577029     FFC9         65481        -0.21484375     9.26540000e-04
1800       0.01143420      0003         3            0.01171875      2.84550000e-04
1801       -0.02192510     FFFA         65530        -0.02343750     1.51240000e-03
1802       0.10806864      001C         28           0.10937500      1.30636000e-03
1803       0.03846525      000A         10           0.03906250      5.97250000e-04
1804       0.19247536      0031         49           0.19140625      1.06911000e-03
1805       -0.00011019     0000         0            0.00000000      1.10190000e-04
1806       -0.04747614     FFF4         65524        -0.04687500     6.01140000e-04
1807       -0.00079467     0000         0            0.00000000      7.94670000e-04
1808       -0.03187109     FFF8         65528        -0.03125000     6.21090000e-04
1809       -0.06267480     FFF0         65520        -0.06250000     1.74800000e-04
1900       0.21332735      0037         55           0.21484375      1.51640000e-03
1901       0.00297564      0001         1            0.00390625      9.30610000e-04
1902       -0.02854714     FFF9         65529        -0.02734375     1.20339000e-03
1903       0.08299583      0015         21           0.08203125      9.64580000e-04
1904       0.49308327      007E         126          0.49218750      8.95770000e-04
1905       0.07829870      0014         20           0.07812500      1.73700000e-04
1906       -0.05150757     FFF3         65523        -0.05078125     7.26320000e-04
1907       0.09843802      0019         25           0.09765625      7.81770000e-04
1908       0.01030963      0003         3            0.01171875      1.40912000e-03
1909       0.00000146      0000         0            0.00000000      1.46000000e-06
2000       0.10220440      001A         26           0.10156250      6.41900000e-04
