====================================================================================================
 FULL VERIFICATION FILE - ALL 37,600 VALUES
====================================================================================================

Addr     Row   Col   Float           Hex      Binary               Reconstructed   Error       
77       0     77    -0.05051278     800D     1_0000000_00001101   -0.05078125     2.68e-04    
78       0     78    0.02337066      0006     0_0000000_00000110   0.02343750      6.68e-05    
79       0     79    -0.22896142     803B     1_0000000_00111011   -0.23046875     1.51e-03    
80       0     80    0.12788893      0021     0_0000000_00100001   0.12890625      1.02e-03    
81       0     81    0.10091499      001A     0_0000000_00011010   0.10156250      6.48e-04    
82       0     82    0.03963451      000A     0_0000000_00001010   0.03906250      5.72e-04    
83       0     83    0.11100024      001C     0_0000000_00011100   0.10937500      1.63e-03    
84       0     84    -0.07457993     8013     1_0000000_00010011   -0.07421875     3.61e-04    
85       0     85    0.13227606      0022     0_0000000_00100010   0.13281250      5.36e-04    
86       0     86    -0.01625312     8004     1_0000000_00000100   -0.01562500     6.28e-04    
87       0     87    0.04040961      000A     0_0000000_00001010   0.03906250      1.35e-03    
88       0     88    -0.00221971     8001     1_0000000_00000001   -0.00390625     1.69e-03    
89       0     89    -0.08899323     8017     1_0000000_00010111   -0.08984375     8.51e-04    
90       0     90    0.00295964      0001     0_0000000_00000001   0.00390625      9.47e-04    
91       0     91    -0.12819107     8021     1_0000000_00100001   -0.12890625     7.15e-04    
92       0     92    -0.06238136     8010     1_0000000_00010000   -0.06250000     1.19e-04    
93       0     93    -0.00668914     8002     1_0000000_00000010   -0.00781250     1.12e-03    
94       0     94    0.06731539      0011     0_0000000_00010001   0.06640625      9.09e-04    
95       0     95    -0.08626830     8016     1_0000000_00010110   -0.08593750     3.31e-04    
96       0     96    0.03870477      000A     0_0000000_00001010   0.03906250      3.58e-04    
97       0     97    -0.01053845     8003     1_0000000_00000011   -0.01171875     1.18e-03    
98       0     98    0.07895818      0014     0_0000000_00010100   0.07812500      8.33e-04    
99       0     99    -0.41843602     806B     1_0000000_01101011   -0.41796875     4.67e-04    
100      1     0     -0.00828945     8002     1_0000000_00000010   -0.00781250     4.77e-04    
101      1     1     0.15591006      0028     0_0000000_00101000   0.15625000      3.40e-04    
102      1     2     0.19979033      0033     0_0000000_00110011   0.19921875      5.72e-04    
103      1     3     0.15141982      0027     0_0000000_00100111   0.15234375      9.24e-04    
104      1     4     0.02745700      0007     0_0000000_00000111   0.02734375      1.13e-04    
105      1     5     0.02578093      0007     0_0000000_00000111   0.02734375      1.56e-03    
106      1     6     -0.06377535     8010     1_0000000_00010000   -0.06250000     1.28e-03    
107      1     7     -0.08321488     8015     1_0000000_00010101   -0.08203125     1.18e-03    
108      1     8     -0.06519119     8011     1_0000000_00010001   -0.06640625     1.22e-03    
109      1     9     -0.27002111     8045     1_0000000_01000101   -0.26953125     4.90e-04    
110      1     10    0.08529387      0016     0_0000000_00010110   0.08593750      6.44e-04    
111      1     11    0.16017449      0029     0_0000000_00101001   0.16015625      1.82e-05    
112      1     12    -0.16166613     8029     1_0000000_00101001   -0.16015625     1.51e-03    
113      1     13    -0.01926114     8005     1_0000000_00000101   -0.01953125     2.70e-04    
114      1     14    0.14859021      0026     0_0000000_00100110   0.14843750      1.53e-04    
115      1     15    -0.00127842     8000     1_0000000_00000000   -0.00000000     1.28e-03    
116      1     16    0.05280187      000E     0_0000000_00001110   0.05468750      1.89e-03    
117      1     17    -0.04370940     800B     1_0000000_00001011   -0.04296875     7.41e-04    
118      1     18    -0.14343292     8025     1_0000000_00100101   -0.14453125     1.10e-03    
119      1     19    -0.15330242     8027     1_0000000_00100111   -0.15234375     9.59e-04    
120      1     20    -0.04770258     800C     1_0000000_00001100   -0.04687500     8.28e-04    
121      1     21    -0.01441768     8004     1_0000000_00000100   -0.01562500     1.21e-03    
122      1     22    0.05251050      000D     0_0000000_00001101   0.05078125      1.73e-03    
123      1     23    -0.28563267     8049     1_0000000_01001001   -0.28515625     4.76e-04    
124      1     24    -0.11341241     801D     1_0000000_00011101   -0.11328125     1.31e-04    
125      1     25    0.26592344      0044     0_0000000_01000100   0.26562500      2.98e-04    
126      1     26    -0.09432166     8018     1_0000000_00011000   -0.09375000     5.72e-04    
127      1     27    -0.07403710     8013     1_0000000_00010011   -0.07421875     1.82e-04    
128      1     28    -0.03803005     800A     1_0000000_00001010   -0.03906250     1.03e-03    
129      1     29    -0.05594340     800E     1_0000000_00001110   -0.05468750     1.26e-03    
130      1     30    -0.10060303     801A     1_0000000_00011010   -0.10156250     9.59e-04    
131      1     31    -0.09025078     8017     1_0000000_00010111   -0.08984375     4.07e-04    
132      1     32    0.23191363      003B     0_0000000_00111011   0.23046875      1.44e-03    
133      1     33    -0.06085986     8010     1_0000000_00010000   -0.06250000     1.64e-03    
134      1     34    -0.13113163     8022     1_0000000_00100010   -0.13281250     1.68e-03    
135      1     35    0.10106713      001A     0_0000000_00011010   0.10156250      4.95e-04    
136      1     36    0.16936365      002B     0_0000000_00101011   0.16796875      1.39e-03    
137      1     37    0.00302881      0001     0_0000000_00000001   0.00390625      8.77e-04    
138      1     38    -0.08247185     8015     1_0000000_00010101   -0.08203125     4.41e-04    
139      1     39    0.01636061      0004     0_0000000_00000100   0.01562500      7.36e-04    
140      1     40    0.02434981      0006     0_0000000_00000110   0.02343750      9.12e-04    
141      1     41    0.11934625      001F     0_0000000_00011111   0.12109375      1.75e-03    
142      1     42    -0.16063154     8029     1_0000000_00101001   -0.16015625     4.75e-04    
143      1     43    -0.24129929     803E     1_0000000_00111110   -0.24218750     8.88e-04    
144      1     44    0.29477438      004B     0_0000000_01001011   0.29296875      1.81e-03    
145      1     45    -0.10138599     801A     1_0000000_00011010   -0.10156250     1.77e-04    
146      1     46    -0.15358783     8027     1_0000000_00100111   -0.15234375     1.24e-03    
147      1     47    -0.12324783     8020     1_0000000_00100000   -0.12500000     1.75e-03    
148      1     48    0.06960139      0012     0_0000000_00010010   0.07031250      7.11e-04    
149      1     49    0.01984891      0005     0_0000000_00000101   0.01953125      3.18e-04    
150      1     50    -0.18535617     802F     1_0000000_00101111   -0.18359375     1.76e-03    
151      1     51    0.25654888      0042     0_0000000_01000010   0.25781250      1.26e-03    
152      1     52    -0.04118736     800B     1_0000000_00001011   -0.04296875     1.78e-03    
153      1     53    0.03113562      0008     0_0000000_00001000   0.03125000      1.14e-04    
154      1     54    -0.06695540     8011     1_0000000_00010001   -0.06640625     5.49e-04    
155      1     55    0.04301057      000B     0_0000000_00001011   0.04296875      4.18e-05    
156      1     56    -0.02041864     8005     1_0000000_00000101   -0.01953125     8.87e-04    
157      1     57    0.04252855      000B     0_0000000_00001011   0.04296875      4.40e-04    
158      1     58    -0.07475488     8013     1_0000000_00010011   -0.07421875     5.36e-04    
159      1     59    0.18149731      002E     0_0000000_00101110   0.17968750      1.81e-03    
160      1     60    -0.21332057     8037     1_0000000_00110111   -0.21484375     1.52e-03    
161      1     61    -0.15017185     8026     1_0000000_00100110   -0.14843750     1.73e-03    
162      1     62    -0.04842897     800C     1_0000000_00001100   -0.04687500     1.55e-03    
163      1     63    -0.17431037     802D     1_0000000_00101101   -0.17578125     1.47e-03    
164      1     64    0.16810396      002B     0_0000000_00101011   0.16796875      1.35e-04    
165      1     65    -0.15617841     8028     1_0000000_00101000   -0.15625000     7.16e-05    
166      1     66    -0.02929848     8008     1_0000000_00001000   -0.03125000     1.95e-03    
167      1     67    -0.09680852     8019     1_0000000_00011001   -0.09765625     8.48e-04    
168      1     68    0.12920122      0021     0_0000000_00100001   0.12890625      2.95e-04    
169      1     69    0.07521491      0013     0_0000000_00010011   0.07421875      9.96e-04    
170      1     70    -0.24502635     803F     1_0000000_00111111   -0.24609375     1.07e-03    
