====================================================================================================
 FULL VERIFICATION FILE - ALL 37,600 VALUES
====================================================================================================

Addr     Row   Col   Float           Hex      Binary               Reconstructed   Error       
10270    102   70    -0.14318776     8025     1_0000000_00100101   -0.14453125     1.34e-03    
10271    102   71    0.08225063      0015     0_0000000_00010101   0.08203125      2.19e-04    
10272    102   72    -0.04565784     800C     1_0000000_00001100   -0.04687500     1.22e-03    
10273    102   73    0.03760412      000A     0_0000000_00001010   0.03906250      1.46e-03    
10274    102   74    -0.10554267     801B     1_0000000_00011011   -0.10546875     7.39e-05    
10275    102   75    -0.12878086     8021     1_0000000_00100001   -0.12890625     1.25e-04    
10276    102   76    0.15630166      0028     0_0000000_00101000   0.15625000      5.17e-05    
10277    102   77    0.01907672      0005     0_0000000_00000101   0.01953125      4.55e-04    
10278    102   78    0.04405291      000B     0_0000000_00001011   0.04296875      1.08e-03    
10279    102   79    -0.10764769     801C     1_0000000_00011100   -0.10937500     1.73e-03    
10280    102   80    -0.00373511     8001     1_0000000_00000001   -0.00390625     1.71e-04    
10281    102   81    0.16934283      002B     0_0000000_00101011   0.16796875      1.37e-03    
10282    102   82    0.05075807      000D     0_0000000_00001101   0.05078125      2.32e-05    
10283    102   83    -0.12104382     801F     1_0000000_00011111   -0.12109375     4.99e-05    
10284    102   84    0.01947331      0005     0_0000000_00000101   0.01953125      5.79e-05    
10285    102   85    -0.16185789     8029     1_0000000_00101001   -0.16015625     1.70e-03    
10286    102   86    0.00098451      0000     0_0000000_00000000   0.00000000      9.85e-04    
10287    102   87    0.06903302      0012     0_0000000_00010010   0.07031250      1.28e-03    
10288    102   88    -0.07272133     8013     1_0000000_00010011   -0.07421875     1.50e-03    
10289    102   89    0.01337933      0003     0_0000000_00000011   0.01171875      1.66e-03    
10290    102   90    -0.03044229     8008     1_0000000_00001000   -0.03125000     8.08e-04    
10291    102   91    -0.11346827     801D     1_0000000_00011101   -0.11328125     1.87e-04    
10292    102   92    -0.01271851     8003     1_0000000_00000011   -0.01171875     1.00e-03    
10293    102   93    -0.01937312     8005     1_0000000_00000101   -0.01953125     1.58e-04    
10294    102   94    0.02790533      0007     0_0000000_00000111   0.02734375      5.62e-04    
10295    102   95    -0.22507547     803A     1_0000000_00111010   -0.22656250     1.49e-03    
10296    102   96    0.01779377      0005     0_0000000_00000101   0.01953125      1.74e-03    
10297    102   97    -0.09210807     8018     1_0000000_00011000   -0.09375000     1.64e-03    
10298    102   98    -0.18947065     8031     1_0000000_00110001   -0.19140625     1.94e-03    
10299    102   99    -0.30394402     804E     1_0000000_01001110   -0.30468750     7.43e-04    
10300    103   0     0.00250123      0001     0_0000000_00000001   0.00390625      1.41e-03    
10301    103   1     -0.11319660     801D     1_0000000_00011101   -0.11328125     8.47e-05    
10302    103   2     -0.15241681     8027     1_0000000_00100111   -0.15234375     7.31e-05    
10303    103   3     0.01051247      0003     0_0000000_00000011   0.01171875      1.21e-03    
10304    103   4     0.19067079      0031     0_0000000_00110001   0.19140625      7.35e-04    
10305    103   5     0.05744639      000F     0_0000000_00001111   0.05859375      1.15e-03    
10306    103   6     -0.00705284     8002     1_0000000_00000010   -0.00781250     7.60e-04    
10307    103   7     -0.06020715     800F     1_0000000_00001111   -0.05859375     1.61e-03    
10308    103   8     -0.00197167     8001     1_0000000_00000001   -0.00390625     1.93e-03    
10309    103   9     -0.07209142     8012     1_0000000_00010010   -0.07031250     1.78e-03    
10310    103   10    0.12609111      0020     0_0000000_00100000   0.12500000      1.09e-03    
10311    103   11    -0.02351012     8006     1_0000000_00000110   -0.02343750     7.26e-05    
10312    103   12    -0.10200445     801A     1_0000000_00011010   -0.10156250     4.42e-04    
10313    103   13    0.01269747      0003     0_0000000_00000011   0.01171875      9.79e-04    
10314    103   14    0.08895250      0017     0_0000000_00010111   0.08984375      8.91e-04    
10315    103   15    -0.09311941     8018     1_0000000_00011000   -0.09375000     6.31e-04    
10316    103   16    -0.13125525     8022     1_0000000_00100010   -0.13281250     1.56e-03    
10317    103   17    0.06708632      0011     0_0000000_00010001   0.06640625      6.80e-04    
10318    103   18    -0.06298475     8010     1_0000000_00010000   -0.06250000     4.85e-04    
10319    103   19    -0.06511356     8011     1_0000000_00010001   -0.06640625     1.29e-03    
10320    103   20    0.13292271      0022     0_0000000_00100010   0.13281250      1.10e-04    
10321    103   21    -0.10825440     801C     1_0000000_00011100   -0.10937500     1.12e-03    
10322    103   22    -0.13788453     8023     1_0000000_00100011   -0.13671875     1.17e-03    
10323    103   23    -0.15423729     8027     1_0000000_00100111   -0.15234375     1.89e-03    
10324    103   24    -0.04618877     800C     1_0000000_00001100   -0.04687500     6.86e-04    
10325    103   25    0.09488109      0018     0_0000000_00011000   0.09375000      1.13e-03    
10326    103   26    -0.09403671     8018     1_0000000_00011000   -0.09375000     2.87e-04    
10327    103   27    -0.11034443     801C     1_0000000_00011100   -0.10937500     9.69e-04    
10328    103   28    0.00169861      0000     0_0000000_00000000   0.00000000      1.70e-03    
10329    103   29    0.20538977      0035     0_0000000_00110101   0.20703125      1.64e-03    
10330    103   30    0.03674884      0009     0_0000000_00001001   0.03515625      1.59e-03    
10331    103   31    -0.02484344     8006     1_0000000_00000110   -0.02343750     1.41e-03    
10332    103   32    0.17071737      002C     0_0000000_00101100   0.17187500      1.16e-03    
10333    103   33    -0.07528095     8013     1_0000000_00010011   -0.07421875     1.06e-03    
10334    103   34    -0.00515253     8001     1_0000000_00000001   -0.00390625     1.25e-03    
10335    103   35    -0.01874634     8005     1_0000000_00000101   -0.01953125     7.85e-04    
10336    103   36    0.00938072      0002     0_0000000_00000010   0.00781250      1.57e-03    
10337    103   37    0.13480078      0023     0_0000000_00100011   0.13671875      1.92e-03    
10338    103   38    -0.07764143     8014     1_0000000_00010100   -0.07812500     4.84e-04    
10339    103   39    0.02580653      0007     0_0000000_00000111   0.02734375      1.54e-03    
10340    103   40    -0.12462484     8020     1_0000000_00100000   -0.12500000     3.75e-04    
10341    103   41    -0.00551018     8001     1_0000000_00000001   -0.00390625     1.60e-03    
10342    103   42    -0.10743549     801C     1_0000000_00011100   -0.10937500     1.94e-03    
10343    103   43    -0.11846980     801E     1_0000000_00011110   -0.11718750     1.28e-03    
10344    103   44    0.13538167      0023     0_0000000_00100011   0.13671875      1.34e-03    
10345    103   45    -0.09502100     8018     1_0000000_00011000   -0.09375000     1.27e-03    
10346    103   46    -0.07850740     8014     1_0000000_00010100   -0.07812500     3.82e-04    
10347    103   47    -0.01696865     8004     1_0000000_00000100   -0.01562500     1.34e-03    
10348    103   48    0.02636647      0007     0_0000000_00000111   0.02734375      9.77e-04    
10349    103   49    0.00836566      0002     0_0000000_00000010   0.00781250      5.53e-04    
10350    103   50    -0.20588857     8035     1_0000000_00110101   -0.20703125     1.14e-03    
10351    103   51    0.03396088      0009     0_0000000_00001001   0.03515625      1.20e-03    
10352    103   52    0.16357908      002A     0_0000000_00101010   0.16406250      4.83e-04    
10353    103   53    -0.01085177     8003     1_0000000_00000011   -0.01171875     8.67e-04    
10354    103   54    0.13386282      0022     0_0000000_00100010   0.13281250      1.05e-03    
10355    103   55    0.06957347      0012     0_0000000_00010010   0.07031250      7.39e-04    
10356    103   56    0.00126702      0000     0_0000000_00000000   0.00000000      1.27e-03    
10357    103   57    0.12022898      001F     0_0000000_00011111   0.12109375      8.65e-04    
10358    103   58    -0.02351529     8006     1_0000000_00000110   -0.02343750     7.78e-05    
10359    103   59    0.10331076      001A     0_0000000_00011010   0.10156250      1.75e-03    
10360    103   60    -0.10529571     801B     1_0000000_00011011   -0.10546875     1.73e-04    
10361    103   61    -0.12596123     8020     1_0000000_00100000   -0.12500000     9.61e-04    
10362    103   62    -0.11012392     801C     1_0000000_00011100   -0.10937500     7.49e-04    
10363    103   63    -0.10195184     801A     1_0000000_00011010   -0.10156250     3.89e-04    
10364    103   64    -0.03660560     8009     1_0000000_00001001   -0.03515625     1.45e-03    
10365    103   65    0.01528261      0004     0_0000000_00000100   0.01562500      3.42e-04    
10366    103   66    -0.09878957     8019     1_0000000_00011001   -0.09765625     1.13e-03    
10367    103   67    -0.14007552     8024     1_0000000_00100100   -0.14062500     5.49e-04    
10368    103   68    -0.02797483     8007     1_0000000_00000111   -0.02734375     6.31e-04    
10369    103   69    0.14488313      0025     0_0000000_00100101   0.14453125      3.52e-04    
10370    103   70    -0.04459140     800B     1_0000000_00001011   -0.04296875     1.62e-03    
10371    103   71    0.06773306      0011     0_0000000_00010001   0.06640625      1.33e-03    
10372    103   72    0.02132783      0005     0_0000000_00000101   0.01953125      1.80e-03    
10373    103   73    -0.08085953     8015     1_0000000_00010101   -0.08203125     1.17e-03    
10374    103   74    -0.08574052     8016     1_0000000_00010110   -0.08593750     1.97e-04    
10375    103   75    -0.16903761     802B     1_0000000_00101011   -0.16796875     1.07e-03    
10376    103   76    0.04651767      000C     0_0000000_00001100   0.04687500      3.57e-04    
10377    103   77    0.01611434      0004     0_0000000_00000100   0.01562500      4.89e-04    
10378    103   78    0.07242922      0013     0_0000000_00010011   0.07421875      1.79e-03    
10379    103   79    0.12454239      0020     0_0000000_00100000   0.12500000      4.58e-04    
10380    103   80    0.04348307      000B     0_0000000_00001011   0.04296875      5.14e-04    
10381    103   81    -0.24100852     803E     1_0000000_00111110   -0.24218750     1.18e-03    
10382    103   82    -0.14716068     8026     1_0000000_00100110   -0.14843750     1.28e-03    
10383    103   83    -0.06802206     8011     1_0000000_00010001   -0.06640625     1.62e-03    
10384    103   84    0.05040484      000D     0_0000000_00001101   0.05078125      3.76e-04    
10385    103   85    -0.14624520     8025     1_0000000_00100101   -0.14453125     1.71e-03    
10386    103   86    -0.03879049     800A     1_0000000_00001010   -0.03906250     2.72e-04    
10387    103   87    0.15101594      0027     0_0000000_00100111   0.15234375      1.33e-03    
10388    103   88    -0.10273632     801A     1_0000000_00011010   -0.10156250     1.17e-03    
10389    103   89    0.06062256      0010     0_0000000_00010000   0.06250000      1.88e-03    
10390    103   90    -0.00102218     8000     1_0000000_00000000   -0.00000000     1.02e-03    
10391    103   91    -0.04139728     800B     1_0000000_00001011   -0.04296875     1.57e-03    
10392    103   92    0.10178014      001A     0_0000000_00011010   0.10156250      2.18e-04    
10393    103   93    -0.04886857     800D     1_0000000_00001101   -0.05078125     1.91e-03    
10394    103   94    0.10562007      001B     0_0000000_00011011   0.10546875      1.51e-04    
10395    103   95    -0.19833533     8033     1_0000000_00110011   -0.19921875     8.83e-04    
10396    103   96    -0.09906341     8019     1_0000000_00011001   -0.09765625     1.41e-03    
10397    103   97    -0.20936184     8036     1_0000000_00110110   -0.21093750     1.58e-03    
10398    103   98    -0.24462533     803F     1_0000000_00111111   -0.24609375     1.47e-03    
10399    103   99    -0.25135267     8040     1_0000000_01000000   -0.25000000     1.35e-03    
10400    104   0     0.03304618      0008     0_0000000_00001000   0.03125000      1.80e-03    
10401    104   1     -0.01868181     8005     1_0000000_00000101   -0.01953125     8.49e-04    
10402    104   2     -0.14753915     8026     1_0000000_00100110   -0.14843750     8.98e-04    
10403    104   3     0.05691260      000F     0_0000000_00001111   0.05859375      1.68e-03    
10404    104   4     0.30173302      004D     0_0000000_01001101   0.30078125      9.52e-04    
10405    104   5     -0.19654739     8032     1_0000000_00110010   -0.19531250     1.23e-03    
10406    104   6     0.08362152      0015     0_0000000_00010101   0.08203125      1.59e-03    
10407    104   7     0.04213613      000B     0_0000000_00001011   0.04296875      8.33e-04    
10408    104   8     -0.22781342     803A     1_0000000_00111010   -0.22656250     1.25e-03    
10409    104   9     -0.13478073     8023     1_0000000_00100011   -0.13671875     1.94e-03    
10410    104   10    0.04653735      000C     0_0000000_00001100   0.04687500      3.38e-04    
10411    104   11    0.07922447      0014     0_0000000_00010100   0.07812500      1.10e-03    
10412    104   12    -0.24164261     803E     1_0000000_00111110   -0.24218750     5.45e-04    
10413    104   13    -0.09785424     8019     1_0000000_00011001   -0.09765625     1.98e-04    
10414    104   14    0.06285111      0010     0_0000000_00010000   0.06250000      3.51e-04    
10415    104   15    0.08253190      0015     0_0000000_00010101   0.08203125      5.01e-04    
10416    104   16    0.20304644      0034     0_0000000_00110100   0.20312500      7.86e-05    
10417    104   17    0.07346308      0013     0_0000000_00010011   0.07421875      7.56e-04    
10418    104   18    0.00299574      0001     0_0000000_00000001   0.00390625      9.11e-04    
10419    104   19    0.00007240      0000     0_0000000_00000000   0.00000000      7.24e-05    
10420    104   20    -0.08126318     8015     1_0000000_00010101   -0.08203125     7.68e-04    
10421    104   21    0.09255666      0018     0_0000000_00011000   0.09375000      1.19e-03    
10422    104   22    0.06893334      0012     0_0000000_00010010   0.07031250      1.38e-03    
10423    104   23    -0.15264840     8027     1_0000000_00100111   -0.15234375     3.05e-04    
10424    104   24    0.02878572      0007     0_0000000_00000111   0.02734375      1.44e-03    
10425    104   25    0.03099574      0008     0_0000000_00001000   0.03125000      2.54e-04    
10426    104   26    0.11939289      001F     0_0000000_00011111   0.12109375      1.70e-03    
10427    104   27    0.04741804      000C     0_0000000_00001100   0.04687500      5.43e-04    
10428    104   28    -0.03393544     8009     1_0000000_00001001   -0.03515625     1.22e-03    
10429    104   29    0.08536247      0016     0_0000000_00010110   0.08593750      5.75e-04    
10430    104   30    0.10594731      001B     0_0000000_00011011   0.10546875      4.79e-04    
10431    104   31    0.01566303      0004     0_0000000_00000100   0.01562500      3.80e-05    
10432    104   32    0.19352627      0032     0_0000000_00110010   0.19531250      1.79e-03    
10433    104   33    -0.01329137     8003     1_0000000_00000011   -0.01171875     1.57e-03    
10434    104   34    -0.02515744     8006     1_0000000_00000110   -0.02343750     1.72e-03    
10435    104   35    0.13276057      0022     0_0000000_00100010   0.13281250      5.19e-05    
10436    104   36    0.15179145      0027     0_0000000_00100111   0.15234375      5.52e-04    
10437    104   37    0.07983071      0014     0_0000000_00010100   0.07812500      1.71e-03    
10438    104   38    -0.09264859     8018     1_0000000_00011000   -0.09375000     1.10e-03    
10439    104   39    -0.00210668     8001     1_0000000_00000001   -0.00390625     1.80e-03    
10440    104   40    0.03939890      000A     0_0000000_00001010   0.03906250      3.36e-04    
10441    104   41    -0.01070913     8003     1_0000000_00000011   -0.01171875     1.01e-03    
10442    104   42    -0.10050233     801A     1_0000000_00011010   -0.10156250     1.06e-03    
10443    104   43    0.01323096      0003     0_0000000_00000011   0.01171875      1.51e-03    
10444    104   44    0.04032553      000A     0_0000000_00001010   0.03906250      1.26e-03    
10445    104   45    0.03542619      0009     0_0000000_00001001   0.03515625      2.70e-04    
10446    104   46    -0.08826379     8017     1_0000000_00010111   -0.08984375     1.58e-03    
10447    104   47    -0.01040381     8003     1_0000000_00000011   -0.01171875     1.31e-03    
10448    104   48    -0.06822935     8011     1_0000000_00010001   -0.06640625     1.82e-03    
10449    104   49    0.06587980      0011     0_0000000_00010001   0.06640625      5.26e-04    
10450    104   50    -0.01692381     8004     1_0000000_00000100   -0.01562500     1.30e-03    
10451    104   51    0.00653734      0002     0_0000000_00000010   0.00781250      1.28e-03    
10452    104   52    0.09572244      0019     0_0000000_00011001   0.09765625      1.93e-03    
10453    104   53    0.01193120      0003     0_0000000_00000011   0.01171875      2.12e-04    
10454    104   54    0.03053143      0008     0_0000000_00001000   0.03125000      7.19e-04    
10455    104   55    -0.07601337     8013     1_0000000_00010011   -0.07421875     1.79e-03    
10456    104   56    -0.06476224     8011     1_0000000_00010001   -0.06640625     1.64e-03    
10457    104   57    0.04055938      000A     0_0000000_00001010   0.03906250      1.50e-03    
10458    104   58    -0.08188191     8015     1_0000000_00010101   -0.08203125     1.49e-04    
10459    104   59    -0.02902726     8007     1_0000000_00000111   -0.02734375     1.68e-03    
10460    104   60    -0.04783331     800C     1_0000000_00001100   -0.04687500     9.58e-04    
10461    104   61    -0.04852200     800C     1_0000000_00001100   -0.04687500     1.65e-03    
10462    104   62    -0.11098189     801C     1_0000000_00011100   -0.10937500     1.61e-03    
10463    104   63    -0.03152138     8008     1_0000000_00001000   -0.03125000     2.71e-04    
10464    104   64    -0.01796435     8005     1_0000000_00000101   -0.01953125     1.57e-03    
10465    104   65    -0.08074402     8015     1_0000000_00010101   -0.08203125     1.29e-03    
10466    104   66    0.01350270      0003     0_0000000_00000011   0.01171875      1.78e-03    
10467    104   67    0.02022354      0005     0_0000000_00000101   0.01953125      6.92e-04    
10468    104   68    0.04093575      000A     0_0000000_00001010   0.03906250      1.87e-03    
10469    104   69    0.02587038      0007     0_0000000_00000111   0.02734375      1.47e-03    
10470    104   70    -0.02804977     8007     1_0000000_00000111   -0.02734375     7.06e-04    
10471    104   71    -0.07428425     8013     1_0000000_00010011   -0.07421875     6.55e-05    
10472    104   72    -0.06452574     8011     1_0000000_00010001   -0.06640625     1.88e-03    
10473    104   73    -0.01452704     8004     1_0000000_00000100   -0.01562500     1.10e-03    
10474    104   74    -0.18541420     802F     1_0000000_00101111   -0.18359375     1.82e-03    
10475    104   75    -0.12767141     8021     1_0000000_00100001   -0.12890625     1.23e-03    
10476    104   76    -0.05189882     800D     1_0000000_00001101   -0.05078125     1.12e-03    
10477    104   77    0.06290615      0010     0_0000000_00010000   0.06250000      4.06e-04    
10478    104   78    0.12416030      0020     0_0000000_00100000   0.12500000      8.40e-04    
10479    104   79    -0.01954014     8005     1_0000000_00000101   -0.01953125     8.89e-06    
10480    104   80    0.07331353      0013     0_0000000_00010011   0.07421875      9.05e-04    
10481    104   81    0.03178960      0008     0_0000000_00001000   0.03125000      5.40e-04    
10482    104   82    -0.11713719     801E     1_0000000_00011110   -0.11718750     5.03e-05    
10483    104   83    -0.06187427     8010     1_0000000_00010000   -0.06250000     6.26e-04    
10484    104   84    0.08033450      0015     0_0000000_00010101   0.08203125      1.70e-03    
10485    104   85    -0.01453805     8004     1_0000000_00000100   -0.01562500     1.09e-03    
10486    104   86    0.07264587      0013     0_0000000_00010011   0.07421875      1.57e-03    
10487    104   87    0.06260353      0010     0_0000000_00010000   0.06250000      1.04e-04    
10488    104   88    -0.07626670     8014     1_0000000_00010100   -0.07812500     1.86e-03    
10489    104   89    0.06266221      0010     0_0000000_00010000   0.06250000      1.62e-04    
10490    104   90    -0.03221273     8008     1_0000000_00001000   -0.03125000     9.63e-04    
10491    104   91    -0.03677144     8009     1_0000000_00001001   -0.03515625     1.62e-03    
10492    104   92    0.09288356      0018     0_0000000_00011000   0.09375000      8.66e-04    
10493    104   93    -0.08073811     8015     1_0000000_00010101   -0.08203125     1.29e-03    
10494    104   94    -0.00085673     8000     1_0000000_00000000   -0.00000000     8.57e-04    
10495    104   95    -0.22605714     803A     1_0000000_00111010   -0.22656250     5.05e-04    
10496    104   96    0.14215140      0024     0_0000000_00100100   0.14062500      1.53e-03    
10497    104   97    -0.13407327     8022     1_0000000_00100010   -0.13281250     1.26e-03    
10498    104   98    0.01047438      0003     0_0000000_00000011   0.01171875      1.24e-03    
10499    104   99    -0.10942677     801C     1_0000000_00011100   -0.10937500     5.18e-05    
10500    105   0     -0.02559125     8007     1_0000000_00000111   -0.02734375     1.75e-03    
10501    105   1     -0.02787193     8007     1_0000000_00000111   -0.02734375     5.28e-04    
10502    105   2     -0.26622522     8044     1_0000000_01000100   -0.26562500     6.00e-04    
10503    105   3     0.02441792      0006     0_0000000_00000110   0.02343750      9.80e-04    
10504    105   4     -0.02262024     8006     1_0000000_00000110   -0.02343750     8.17e-04    
10505    105   5     -0.10623091     801B     1_0000000_00011011   -0.10546875     7.62e-04    
10506    105   6     -0.16537489     802A     1_0000000_00101010   -0.16406250     1.31e-03    
10507    105   7     -0.05453657     800E     1_0000000_00001110   -0.05468750     1.51e-04    
10508    105   8     -0.02673197     8007     1_0000000_00000111   -0.02734375     6.12e-04    
10509    105   9     -0.17522071     802D     1_0000000_00101101   -0.17578125     5.61e-04    
10510    105   10    0.04094674      000A     0_0000000_00001010   0.03906250      1.88e-03    
10511    105   11    0.01780883      0005     0_0000000_00000101   0.01953125      1.72e-03    
10512    105   12    -0.14916646     8026     1_0000000_00100110   -0.14843750     7.29e-04    
10513    105   13    -0.01064702     8003     1_0000000_00000011   -0.01171875     1.07e-03    
10514    105   14    0.11457855      001D     0_0000000_00011101   0.11328125      1.30e-03    
10515    105   15    0.06321831      0010     0_0000000_00010000   0.06250000      7.18e-04    
10516    105   16    -0.06415643     8010     1_0000000_00010000   -0.06250000     1.66e-03    
10517    105   17    0.01966514      0005     0_0000000_00000101   0.01953125      1.34e-04    
10518    105   18    -0.07258548     8013     1_0000000_00010011   -0.07421875     1.63e-03    
10519    105   19    -0.10441480     801B     1_0000000_00011011   -0.10546875     1.05e-03    
10520    105   20    0.02593446      0007     0_0000000_00000111   0.02734375      1.41e-03    
10521    105   21    -0.00769763     8002     1_0000000_00000010   -0.00781250     1.15e-04    
10522    105   22    -0.07905234     8014     1_0000000_00010100   -0.07812500     9.27e-04    
10523    105   23    -0.06931700     8012     1_0000000_00010010   -0.07031250     9.95e-04    
10524    105   24    -0.23172107     803B     1_0000000_00111011   -0.23046875     1.25e-03    
10525    105   25    0.09114539      0017     0_0000000_00010111   0.08984375      1.30e-03    
10526    105   26    0.06129641      0010     0_0000000_00010000   0.06250000      1.20e-03    
10527    105   27    -0.20831463     8035     1_0000000_00110101   -0.20703125     1.28e-03    
10528    105   28    -0.17033154     802C     1_0000000_00101100   -0.17187500     1.54e-03    
10529    105   29    0.09491456      0018     0_0000000_00011000   0.09375000      1.16e-03    
10530    105   30    0.11560167      001E     0_0000000_00011110   0.11718750      1.59e-03    
10531    105   31    -0.09002594     8017     1_0000000_00010111   -0.08984375     1.82e-04    
10532    105   32    0.10407621      001B     0_0000000_00011011   0.10546875      1.39e-03    
10533    105   33    -0.15707760     8028     1_0000000_00101000   -0.15625000     8.28e-04    
10534    105   34    -0.13666810     8023     1_0000000_00100011   -0.13671875     5.07e-05    
10535    105   35    -0.05633304     800E     1_0000000_00001110   -0.05468750     1.65e-03    
10536    105   36    0.03823384      000A     0_0000000_00001010   0.03906250      8.29e-04    
10537    105   37    0.09838245      0019     0_0000000_00011001   0.09765625      7.26e-04    
10538    105   38    -0.06765262     8011     1_0000000_00010001   -0.06640625     1.25e-03    
10539    105   39    -0.05791208     800F     1_0000000_00001111   -0.05859375     6.82e-04    
10540    105   40    -0.10272533     801A     1_0000000_00011010   -0.10156250     1.16e-03    
10541    105   41    0.10982540      001C     0_0000000_00011100   0.10937500      4.50e-04    
10542    105   42    -0.12713841     8021     1_0000000_00100001   -0.12890625     1.77e-03    
10543    105   43    -0.04069728     800A     1_0000000_00001010   -0.03906250     1.63e-03    
10544    105   44    0.05185530      000D     0_0000000_00001101   0.05078125      1.07e-03    
10545    105   45    -0.06711862     8011     1_0000000_00010001   -0.06640625     7.12e-04    
10546    105   46    -0.04777957     800C     1_0000000_00001100   -0.04687500     9.05e-04    
10547    105   47    -0.20810591     8035     1_0000000_00110101   -0.20703125     1.07e-03    
10548    105   48    -0.00655724     8002     1_0000000_00000010   -0.00781250     1.26e-03    
10549    105   49    0.00116910      0000     0_0000000_00000000   0.00000000      1.17e-03    
10550    105   50    -0.19488491     8032     1_0000000_00110010   -0.19531250     4.28e-04    
10551    105   51    0.11882245      001E     0_0000000_00011110   0.11718750      1.63e-03    
10552    105   52    0.11944245      001F     0_0000000_00011111   0.12109375      1.65e-03    
10553    105   53    0.07710852      0014     0_0000000_00010100   0.07812500      1.02e-03    
10554    105   54    -0.05104154     800D     1_0000000_00001101   -0.05078125     2.60e-04    
10555    105   55    -0.11173771     801D     1_0000000_00011101   -0.11328125     1.54e-03    
10556    105   56    0.05456265      000E     0_0000000_00001110   0.05468750      1.25e-04    
10557    105   57    0.00364348      0001     0_0000000_00000001   0.00390625      2.63e-04    
10558    105   58    -0.12515101     8020     1_0000000_00100000   -0.12500000     1.51e-04    
10559    105   59    0.25216031      0041     0_0000000_01000001   0.25390625      1.75e-03    
10560    105   60    -0.06251667     8010     1_0000000_00010000   -0.06250000     1.67e-05    
10561    105   61    -0.07198025     8012     1_0000000_00010010   -0.07031250     1.67e-03    
10562    105   62    -0.03115946     8008     1_0000000_00001000   -0.03125000     9.05e-05    
10563    105   63    -0.24051811     803E     1_0000000_00111110   -0.24218750     1.67e-03    
10564    105   64    -0.06013694     800F     1_0000000_00001111   -0.05859375     1.54e-03    
10565    105   65    -0.03513117     8009     1_0000000_00001001   -0.03515625     2.51e-05    
10566    105   66    -0.09260687     8018     1_0000000_00011000   -0.09375000     1.14e-03    
10567    105   67    0.01616823      0004     0_0000000_00000100   0.01562500      5.43e-04    
10568    105   68    -0.11950973     801F     1_0000000_00011111   -0.12109375     1.58e-03    
10569    105   69    0.04671388      000C     0_0000000_00001100   0.04687500      1.61e-04    
10570    105   70    -0.23067406     803B     1_0000000_00111011   -0.23046875     2.05e-04    
10571    105   71    -0.06058233     8010     1_0000000_00010000   -0.06250000     1.92e-03    
10572    105   72    0.01910077      0005     0_0000000_00000101   0.01953125      4.30e-04    
10573    105   73    -0.02951320     8008     1_0000000_00001000   -0.03125000     1.74e-03    
10574    105   74    0.07380686      0013     0_0000000_00010011   0.07421875      4.12e-04    
10575    105   75    -0.01955935     8005     1_0000000_00000101   -0.01953125     2.81e-05    
10576    105   76    0.16823104      002B     0_0000000_00101011   0.16796875      2.62e-04    
10577    105   77    0.10878375      001C     0_0000000_00011100   0.10937500      5.91e-04    
10578    105   78    0.18301970      002F     0_0000000_00101111   0.18359375      5.74e-04    
10579    105   79    0.11140147      001D     0_0000000_00011101   0.11328125      1.88e-03    
10580    105   80    -0.20621112     8035     1_0000000_00110101   -0.20703125     8.20e-04    
10581    105   81    0.01122751      0003     0_0000000_00000011   0.01171875      4.91e-04    
10582    105   82    -0.11851124     801E     1_0000000_00011110   -0.11718750     1.32e-03    
10583    105   83    -0.17264031     802C     1_0000000_00101100   -0.17187500     7.65e-04    
10584    105   84    0.08743367      0016     0_0000000_00010110   0.08593750      1.50e-03    
10585    105   85    -0.15607698     8028     1_0000000_00101000   -0.15625000     1.73e-04    
10586    105   86    0.09886906      0019     0_0000000_00011001   0.09765625      1.21e-03    
10587    105   87    0.15745765      0028     0_0000000_00101000   0.15625000      1.21e-03    
10588    105   88    -0.26154009     8043     1_0000000_01000011   -0.26171875     1.79e-04    
10589    105   89    0.03510879      0009     0_0000000_00001001   0.03515625      4.75e-05    
10590    105   90    -0.05650193     800E     1_0000000_00001110   -0.05468750     1.81e-03    
10591    105   91    -0.02653945     8007     1_0000000_00000111   -0.02734375     8.04e-04    
10592    105   92    -0.07511442     8013     1_0000000_00010011   -0.07421875     8.96e-04    
10593    105   93    -0.26968947     8045     1_0000000_01000101   -0.26953125     1.58e-04    
10594    105   94    0.16411048      002A     0_0000000_00101010   0.16406250      4.80e-05    
10595    105   95    0.00614584      0002     0_0000000_00000010   0.00781250      1.67e-03    
10596    105   96    0.10433692      001B     0_0000000_00011011   0.10546875      1.13e-03    
10597    105   97    -0.20602612     8035     1_0000000_00110101   -0.20703125     1.01e-03    
10598    105   98    -0.02848276     8007     1_0000000_00000111   -0.02734375     1.14e-03    
10599    105   99    -0.42940035     806E     1_0000000_01101110   -0.42968750     2.87e-04    
10600    106   0     -0.35415703     805B     1_0000000_01011011   -0.35546875     1.31e-03    
10601    106   1     0.32395148      0053     0_0000000_01010011   0.32421875      2.67e-04    
10602    106   2     -0.03055022     8008     1_0000000_00001000   -0.03125000     7.00e-04    
10603    106   3     0.19756214      0033     0_0000000_00110011   0.19921875      1.66e-03    
10604    106   4     -0.30023822     804D     1_0000000_01001101   -0.30078125     5.43e-04    
10605    106   5     0.06037847      000F     0_0000000_00001111   0.05859375      1.78e-03    
10606    106   6     -0.04633157     800C     1_0000000_00001100   -0.04687500     5.43e-04    
10607    106   7     -0.09563109     8018     1_0000000_00011000   -0.09375000     1.88e-03    
