0.02816669,-0.01582932,-0.08857617,-0.01025269,-0.25399250
0.05132200,-0.01257390,-0.04599877,0.01932288,0.09437961
-0.01837961,-0.02344164,0.05177823,0.02128111,0.14593408
0.04072736,-0.06621270,-0.05188623,0.04259947,-0.28162292
-0.06913698,0.09439370,0.08578647,0.07098140,0.14292255
-0.02605176,0.02287227,-0.00561033,-0.00810954,-0.10028059
-0.07617057,0.02682817,-0.39151376,-0.02399832,-0.10195898
-0.01457699,-0.21847814,-0.01696065,-0.14033185,0.01476972
-0.02493403,-0.02505385,0.02329564,0.03112509,0.17754936
0.03833113,-0.06590378,-0.07305888,0.08004384,-0.10609406
-0.02073541,-0.02326402,-0.01331905,0.01779380,0.15331982
-0.02503655,0.02983047,0.04303907,-0.02342268,0.16349564
0.11215796,-0.22354296,0.08662143,-0.02531955,0.03882121
0.02190317,0.00750400,0.07414445,-0.01275310,0.19123669
0.03183470,-0.01852086,-0.01673167,-0.04966528,0.19041510
0.15076457,-0.06651521,-0.02444498,0.02050624,-0.22658044
-0.02225963,0.00968166,-0.01487846,-0.00349729,0.03960842
-0.09879735,-0.03464687,0.04059847,0.05137290,0.07304533
0.09702584,-0.01564762,-0.11328318,-0.01426194,0.06567232
-0.02471652,-0.05918488,0.04110587,0.04267034,0.23086457
0.04178530,0.00021763,0.05271821,-0.06955689,-0.17987366
-0.02737478,0.01576011,-0.00100299,-0.00262589,0.02674266
0.09476632,-0.05507516,-0.03510591,0.03288602,0.06357881
0.01818131,-0.00853254,-0.02974665,-0.00576813,-0.16390491
-0.06346825,-0.03071041,-0.22039352,0.01598693,0.05438401
-0.02853731,0.02031205,-0.03409143,-0.01431976,-0.09011593
-0.02099850,0.04162154,-0.02163467,-0.01868450,-0.18179733
-0.03712412,0.02617720,0.00338688,0.01129428,-0.03169036
0.03911797,0.03672190,-0.01914379,-0.00482289,0.06218132
-0.05327018,0.03134116,-0.00859412,-0.01836874,0.12186025
0.02811803,0.00160838,-0.03788388,-0.01519389,0.06747407
0.00729582,0.00759241,-0.11643601,-0.02654404,-0.14318784
0.11289345,-0.03726555,-0.06215728,0.01119084,0.12381914
0.04192577,0.00655730,0.04655374,-0.04485263,0.18801792
0.15729900,0.12259049,-0.05012600,0.09661511,0.03301219
0.05743270,-0.06306691,0.05534180,0.03087764,0.18934661
-0.09841025,0.10050220,-0.07247280,-0.05769828,-0.04106567
-0.00017534,0.00241798,-0.10532965,0.00297371,0.20429054
0.07989474,-0.06666606,0.06198757,-0.02201781,0.02055184
-0.03474675,-0.06271113,0.05042686,0.08769761,-0.05940930
0.08161426,-0.04479986,-0.00929318,0.00623996,-0.00685608
0.00811180,0.01677698,-0.04199077,0.01244823,0.15550222
-0.00624503,-0.02861525,0.12888993,-0.01501637,0.13058399
-0.02265687,0.08811770,-0.01494389,-0.08248993,0.03201729
-0.01285915,0.04655197,-0.01160612,-0.04393282,0.08105651
-0.01339024,0.05166736,0.01714416,0.12750731,0.07941966
-0.00123920,-0.02783555,-0.01790463,-0.03711043,-0.19062525
-0.10818666,-0.01929308,0.03462077,0.01794196,-0.00126450
-0.22935379,-0.07213894,-0.06745414,0.10176942,0.05239736
0.06678673,-0.02270336,-0.04397560,-0.00033599,-0.02938370
0.02774141,0.05773310,-0.00133686,-0.08359396,0.16561265
0.05080162,-0.09778546,0.01632543,0.06249467,-0.12267304
-0.02757491,-0.06244352,0.02171335,0.10345805,0.08988544
0.04970848,-0.03682914,0.02302423,0.01853370,-0.29757342
-0.02839500,-0.02031071,-0.02098200,0.04564253,-0.19541126
0.11221322,-0.01423238,0.07013183,-0.04649031,0.03639383
-0.03617898,0.04375975,-0.07491905,-0.08737711,0.13284595
-0.04027998,0.06461497,-0.00714414,-0.06072328,0.06268542
0.03033321,0.04816393,0.01756064,-0.05157736,0.23157889
-0.11498931,0.00903169,-0.01044623,0.04589520,0.01705212
-0.08898780,-0.06282397,0.00060690,0.03446634,-0.16321710
-0.06124309,-0.04622425,0.09869802,0.01911329,0.03137464
-0.08311462,0.08476351,-0.01143151,0.11033623,0.13118985
0.03228459,-0.01637131,0.04096112,0.01506762,-0.10573246
0.02463731,-0.00053155,0.02344908,-0.00915525,-0.06548074
0.08315583,0.01428159,0.01037701,-0.04202986,0.11531202
-0.00413332,0.01188862,0.03081716,-0.00524138,0.09691641
0.01315121,-0.04011457,-0.01713916,0.03516326,-0.12896724
0.04098731,-0.09957772,-0.07734311,0.08961212,0.16971311
-0.10161115,-0.03112239,0.05295593,0.04116719,-0.23120844
-0.06440924,0.08368026,-0.04104672,0.02416429,0.07262065
-0.00335796,0.00864179,0.02602641,-0.01446634,-0.12670363
-0.03616433,0.09663434,-0.07714709,-0.10852215,-0.05460097
-0.00017956,0.09439087,-0.02154780,-0.07471531,-0.14332299
0.09031310,-0.04708059,-0.04886939,0.01518408,-0.09764694
0.01006657,0.01130933,0.06803850,-0.02566984,0.11646616
-0.11229073,-0.01053360,0.22770901,-0.07115224,-0.02286443
-0.13198529,-0.03052018,-0.01985894,0.07201198,0.18074340
0.03581395,-0.06894646,-0.00660262,0.05664542,0.14696379
0.07619032,-0.08081642,0.04389978,0.06841977,-0.00596362
-0.08884037,0.04767076,0.16472736,-0.01557027,0.11684768
-0.12264329,-0.01332710,-0.00100008,0.03511716,0.09914212
0.00862106,-0.02407980,0.01713818,0.03698833,-0.13229658
0.08764458,0.07787312,0.02523817,-0.11896549,0.18520677
0.01486109,-0.09835402,0.00317343,0.10687383,0.01047289
0.10327361,-0.10573672,-0.01707126,0.02349970,0.03766628
0.02739212,0.08507754,-0.09000976,-0.11386790,-0.05097509
0.02959916,-0.01061809,0.04731417,0.02401912,0.07778063
-0.05406312,-0.06244474,0.00012759,0.04144641,0.15124580
0.00081737,0.03113813,0.04761895,-0.00723157,-0.02968825
-0.04865701,0.07979905,0.11362357,-0.05330261,0.07888508
-0.05799627,-0.00333142,0.07368585,0.04234283,0.21757871
0.01766089,-0.03719283,-0.02614905,-0.01776039,0.03298273
-0.14357249,-0.03350257,-0.01542049,0.06437755,0.29955629
