i_gate_raw,f_gate_raw,g_gate_raw,o_gate_raw
-0.5589334921,1.2263228822,0.2515896053,0.7694844470
1.1581466790,-1.7218200005,0.4691268772,-2.3781709958
0.1516687659,-0.1473385130,-0.0627395307,-3.0463827757
-0.4130441726,-0.7232453417,0.6741084870,-0.1407863259
0.4238262942,1.2290858978,0.9550732656,0.6474835027
-0.5464867932,-1.2946968104,-0.0347476700,-0.1366242240
1.1980791125,1.6273959471,-0.4975934145,-1.4305222730
-1.4495486608,-0.5425874572,-1.7082551098,-0.3165088715
0.5072754195,-0.8113258914,0.1288449414,-1.1717449275
-1.0053727371,-0.7228251473,0.8378815649,-1.0191407126
-0.5858765336,-0.0562623292,-0.0371881667,-1.1691826640
0.1247334142,-0.3726462529,-0.3839252286,-0.8522556539
2.2208017849,2.2351524790,-0.6894182078,-4.7473314571
-0.1892162180,-0.7219396596,-0.0893306073,-0.2245407692
-0.3149029390,-1.5353460850,-0.4886057873,0.4785313443
-0.3467471231,-1.9632374753,1.0026413346,-2.2692215181
-0.0900908175,-0.8371755149,-0.1026451902,-1.8720082315
-0.6779867656,-1.3053881252,-0.1131110013,-0.2330653828
0.0330708913,-1.2692761359,0.5700226103,0.1349799905
0.7906351013,-1.5613692799,0.1407835420,-1.2870902991
0.4115204476,-1.7237701040,-0.7214742541,0.4192200636
-2.6736864952,0.4394450733,-0.1076495729,0.4733301046
0.1723392745,0.7618376750,0.6778782738,0.7290968128
2.5733562440,2.6665667563,0.3869127981,-4.2719862084
1.3293193422,2.3823038394,-0.2789293053,-1.2909657137
-4.0575075766,-0.1418144096,-0.1140778501,1.5658474617
1.8623277003,-4.5577936284,0.2333526525,-2.0632269330
-1.1274139143,0.9376087368,-0.0165899741,-0.4102536886
0.3057895271,0.7121685010,0.3547681405,-0.2608434843
-0.7640560986,-1.1330973118,-0.3529354578,0.2109079121
-1.1554315573,0.0244824537,0.0709348072,-1.0638346163
0.2563261109,-1.6263857862,-0.1715968818,-0.8211437539
-1.0697507497,-1.0311735229,0.2100481457,-0.6482891695
-0.2953724538,0.0637127855,-0.3141897266,-0.2220802596
7.9726105723,4.6139419454,1.9913972959,-1.3363544624
2.1251381440,-1.5632710700,0.3112776922,-1.0828421999
1.4917972743,-0.3539111488,-0.6926350550,-1.6014229831
-0.7412205765,-0.7731288600,0.1052752383,-0.9742973097
1.4040555181,0.2996276245,0.0153867087,-0.4668018456
-0.5142057444,-0.0566223402,0.3751274110,-0.6502137975
-3.0934295793,-0.1800571185,0.4008702091,0.4581939045
0.7120914274,-0.0500205288,0.2421300333,-1.3863040296
-0.1577185512,-1.4308874671,-0.4385941710,-1.3518393397
-1.8649759948,-0.5414751056,-0.7479726795,-0.7118132178
-0.2174450313,-0.3474227663,-0.3974638654,-0.7549970596
2.0037467440,1.0600288329,1.7810873527,0.4687387302
1.2623952747,0.1888503899,-0.6296391675,-0.7626588895
0.8617872678,-0.8589516055,-0.2822554232,-1.9629744073
2.0083537924,4.2615031765,-0.5846515718,1.5847056456
-1.4638349359,-0.7084320591,0.3187936484,0.2249966099
0.3629059065,0.0669715629,-0.9854204692,-0.5123411583
0.6558575025,-6.3172540508,0.6154542731,-1.9693054049
-2.1990681065,2.0847878202,0.6635687255,-0.1957825641
-0.2649253770,-1.3247278268,0.5743378506,0.4571971539
-0.0994576327,-1.4740952872,0.3384454421,-0.5379186271
-0.4195014231,-1.1101309244,0.0946088311,0.9038609452
-2.1496495313,-1.3394507508,-1.0122006985,-1.7028092757
1.2640028118,-1.0620355377,-0.6834231651,-1.5234396464
0.8732182666,-1.7911364706,-0.4746648793,0.1883735285
-0.2290244672,-0.3892583108,-0.1922138466,-4.1287011762
2.0551676794,-1.2562559456,-0.0975867984,-1.9740532241
-0.5001177413,0.6205116657,-0.5462858831,-0.3353893036
3.9058092195,-1.9897803694,0.6847331898,-2.3191223173
0.7373652083,-0.6513775153,0.7054338148,0.3392809870
-0.9414454320,-1.6338334025,0.0182107996,-0.0011820613
-0.3760939493,0.3485623084,0.0871015208,0.9112578661
0.1367042948,-0.6806086207,-0.1105514815,-2.7218141998
0.5290348125,-1.0465483080,0.3054069904,-1.6282500842
-1.0538335869,-1.5197882768,0.8196329058,-1.6050574230
0.9761730753,-0.4106346605,0.1146640698,-0.3703241560
1.3096872386,0.3245008219,0.4479862971,-0.2682594336
0.7148274964,-1.2041421440,-0.1499679569,-0.9840524252
-2.4050659170,-0.9761213602,-0.8555911878,-0.0990642414
0.6607984315,-0.6239810246,-0.6006765515,-0.7727309201
-1.1286149243,-1.3300562367,0.4083963865,-1.1074355600
-1.1534251723,0.7993021178,-0.2156448960,-0.2425028112
0.1016867303,3.6895160669,-1.9020767104,0.6910441316
1.8669783207,-2.6498466838,0.0247478705,1.3003058997
0.7173083304,-1.4980591561,0.5097532107,-0.9188660512
0.9016627147,-0.7486056255,0.6784627097,-3.9839651983
0.5386956041,-2.3983843899,-0.6187301469,-2.2730005584
-2.9581972534,-1.2186518368,-0.2983877426,-0.1943107389
0.0733933211,0.2385355609,0.3509049329,0.6198642384
0.5384806454,-0.2782002876,-0.6355479666,-0.3094417802
-3.4009957923,-0.5475474675,0.8744365453,1.0016095843
-1.0905623231,1.1265846705,0.5321318712,-1.1111321049
1.0097976719,-1.2619045632,-0.7112993817,-1.4565680245
-0.6865399946,0.7068370765,0.0506410423,-1.5686418342
-0.6464408069,-0.7992881418,0.2957589701,-0.6174076075
-1.6592307565,-0.5407131582,-0.5195976849,0.3924458197
-0.5360224826,0.1604590310,-0.4878283905,-1.9463889996
0.7435632560,-1.3148500442,-0.0287870547,0.0234599089
-1.2920444828,0.3630675827,0.1317997060,0.2563460078
2.7183461386,2.1124328771,-0.3771328118,2.0307144218
