input_gate,forget_gate,cell_gate,output_gate
0.5003805140,0.5975925587,0.4579519382,0.5295622756
0.4141825704,0.3143383744,0.1537351999,0.2214425736
0.3893828209,0.2593595901,-0.2195310341,0.2040505498
0.5400073718,0.3902069244,0.5019347082,0.4818997704
0.5536647407,0.6495126930,0.0044350088,0.4825227393
0.4175639748,0.3671158867,-0.0889783271,0.3813891116
0.7004019119,0.7208058152,-0.2369778400,0.2810243929
0.4065888251,0.4165243541,-0.3036715232,0.4232605799
0.5849152393,0.3726487287,-0.2315580430,0.3480467029
0.3789059754,0.3485772771,0.3727078928,0.2924491156
0.3960312787,0.4013745049,-0.1720484111,0.3017098701
0.4992538353,0.4062942240,-0.2428292865,0.4133073317
0.3253442849,0.4545036315,0.1538141094,0.1029031810
0.4210598788,0.4025813853,-0.1091600516,0.5252654609
0.3617183103,0.3451932995,-0.1046129009,0.5225268706
0.4041125051,0.1656968547,0.7052611200,0.2410061711
0.3509052566,0.3979247121,-0.0948725159,0.2975336720
0.3266334059,0.3266837719,-0.4415482570,0.2947006803
0.4634647777,0.2828098268,0.5145066199,0.4380570639
0.4909985521,0.3262277412,-0.2854526695,0.2855099549
0.5225768924,0.3551940076,-0.0937754337,0.5143943958
0.1503519890,0.4222588342,-0.1713021567,0.3113300698
0.4451202158,0.4323770592,0.4281944881,0.4210322577
0.6758823929,0.6818738199,0.1677601786,0.2186090335
0.6874966000,0.7645975636,-0.3243506946,0.4886830746
0.1793958208,0.4087471660,-0.0299094830,0.5064473154
0.6444742028,0.2172645223,0.2618220289,0.2356963029
0.4805723665,0.5389471917,-0.1972997138,0.4673718356
0.5222560016,0.5599649096,0.1518108296,0.4723230403
0.3336513371,0.3637477998,-0.2841268774,0.3454278361
0.4103640921,0.3776796294,0.1125512075,0.2713096803
0.5335004374,0.3760882675,0.0682503357,0.3147220962
0.4455870260,0.2921915313,0.2421279158,0.2617505323
0.5487482915,0.5454220196,-0.0536865900,0.4244805628
0.8824001928,0.8480984014,0.7020916331,0.3451451702
0.6549404505,0.4208444379,0.0963875086,0.3228831378
0.6027219353,0.4657980764,-0.4468445411,0.3201780172
0.3836668015,0.4246081023,0.0120711652,0.3117749061
0.5228963695,0.4792849877,0.2385467743,0.4197345946
0.5237184129,0.4503274956,-0.1188242459,0.3017077203
0.2537515392,0.3911464158,0.3522370577,0.3888176813
0.5672006116,0.4307461535,0.0128875484,0.2834830884
0.4275732960,0.2973963285,-0.1651966422,0.3405423001
0.2485314667,0.3828397195,-0.3073639501,0.2616596614
0.4728403254,0.4259863630,-0.1814742002,0.3846258132
0.6676936750,0.5670364265,0.4888280407,0.4054300253
0.5797939831,0.5300959008,-0.1705737470,0.4834476556
0.5059499851,0.4635143172,-0.4356901041,0.3203643677
0.6252259118,0.8547380461,-0.6739089027,0.6775658911
0.2095773822,0.3725967938,0.2715475955,0.3904787535
0.5888339657,0.4250701414,-0.2776638512,0.4938125755
0.4176520297,0.1196524575,0.3392262929,0.2956802643
0.1522453721,0.5614100319,-0.0167563823,0.3167253260
0.4877941027,0.3287448827,0.5030665980,0.5853604161
0.5758904962,0.3282600326,0.1278682238,0.4743579270
0.3824733868,0.3889812742,0.4521124091,0.6002559757
0.1709032439,0.2139337683,-0.3979467324,0.1435722569
0.4909270483,0.3399607561,-0.3320806331,0.2057664945
0.4704218850,0.2872609758,-0.2290629881,0.3869228998
0.2087171752,0.2288572929,-0.3330216672,0.1374905030
0.6944560953,0.5155570966,-0.1121659861,0.3757750204
0.3211748699,0.3625181259,-0.3491233288,0.3258206655
0.5631514479,0.2443842382,-0.1751945115,0.2208053387
0.6568632818,0.5690366063,0.4486980593,0.5305941172
0.3043794427,0.3402576207,0.1061802171,0.3672972343
0.5101290394,0.4275031218,0.2973480477,0.5808994516
0.3891348564,0.3373829670,-0.1181002340,0.1861548149
0.4249174522,0.4877427811,0.2160049879,0.3580694057
0.3202641223,0.2908606171,0.2264151022,0.2773350059
0.5854473897,0.5198516037,0.0335196923,0.5523862309
0.5663870796,0.5844315508,0.0696498199,0.4244872035
0.4748760042,0.4548612385,-0.0202319089,0.3288353409
0.2827051481,0.3369120863,-0.2888986952,0.4634328628
0.5026487872,0.3166887721,-0.0244602637,0.3303854612
0.2713388445,0.2856168885,0.5290580867,0.2424734435
0.3472712944,0.5708888076,-0.0941562276,0.3394509400
0.4684496850,0.7237730184,-0.6303791526,0.5145237255
0.6196214474,0.3273574266,-0.4295250917,0.5620443134
0.4209206591,0.3200187114,0.1028541607,0.3977621646
0.3600339720,0.4383963413,0.4137665060,0.1069732387
0.5472843780,0.2471889615,-0.3968241844,0.2710800156
0.1896431680,0.5840316314,-0.4677647460,0.2403426856
0.3824072150,0.4909985657,0.0711709860,0.5341289631
0.5116771385,0.4528767606,0.0418751321,0.3934439525
0.1330651120,0.3648207517,0.2511509076,0.4006761599
0.3521141871,0.5612004669,0.4334829678,0.3589961348
0.5081498446,0.3878081051,-0.0721931047,0.2658881887
0.3267188904,0.3889128675,0.1371824528,0.3539904295
0.4757597726,0.4661089277,-0.1182307816,0.4982758743
0.3794948808,0.4725761318,-0.3513195157,0.4581273930
0.4567219047,0.5017166468,-0.3216005283,0.3701281044
0.3648702199,0.2631748010,-0.3300303685,0.4332779340
0.3443982303,0.4296545069,0.2419208189,0.4649250631
0.6678325687,0.6494759311,-0.6154338848,0.6558729799
