i_gate_raw,f_gate_raw,g_gate_raw,o_gate_raw
0.6408273068,-0.3193078562,0.0966876813,-0.7405534204
0.4168195045,-0.1370216739,-0.4807506022,-0.7529538291
-0.4740132523,-0.3038847388,0.0120717516,-0.7918344831
0.0916495763,-0.0829075063,0.2432326343,-0.3238630007
0.0949449112,-0.1993475683,-0.1193882662,-0.8391790186
-1.0787030061,-0.4424958639,0.3679953901,-0.4522847604
0.2704387390,-0.2788075165,0.0128882620,-0.9272493814
-0.2917589731,-0.8597272769,-0.1667244729,-0.6608784833
-1.1064598726,-0.4775123494,-0.3176317282,-1.0373602246
-0.1087457373,-0.2982458199,-0.1835066714,-0.4699595685
0.6977722890,0.2697699472,0.5345192454,-0.3828901181
0.3219277315,0.1205293055,-0.1722575447,-0.0662335801
0.0238010641,-0.1462026017,-0.4668986800,-0.7520978227
0.5117896305,1.7722563519,-0.8178700244,0.7426080025
-1.3274747242,-0.5210925528,0.2785338634,-0.4453002479
0.3591471429,-0.3019938543,-0.2851489812,-0.0247509617
-0.3324195351,-1.9957254110,0.3532179505,-0.8679537409
-1.7170977305,0.2468865702,-0.0167579508,-0.7688620182
-0.0488332914,-0.7138672518,0.5534033408,0.3448180830
0.3059258462,-0.7160652357,0.1285720352,-0.1026583544
-0.4790630920,-0.4515964024,0.4873522346,0.4065317873
-1.5792392914,-1.3013745798,-0.4212069468,-1.7859315104
-0.0362957911,-0.6634691060,-0.3451649633,-1.3506355016
-0.1184507603,-0.9087242027,-0.2332003431,-0.4602652555
-1.3326753507,-1.2147748155,-0.3462230068,-1.8362913140
0.8210354599,0.0622484791,-0.1126399637,-0.5075202335
-0.7483778131,-0.5644513684,-0.3644450476,-0.7271490264
0.2539620214,-1.1287912618,-0.1770206838,-1.2609794079
0.6493469391,0.2779216134,0.4830689480,0.1225295387
-0.8265292454,-0.6621463859,0.1065819720,-0.5438293243
0.0405217014,-0.2920456916,0.3066079082,0.3264668176
-0.4509502623,-0.6749785102,-0.1186539495,-1.4751914917
-0.3026186719,-0.0490387007,0.2194617531,-0.5837533510
-0.7525582699,-0.8912079249,0.2304076099,-0.9577195763
0.3451764324,0.0794481781,0.0335322546,0.2103167572
0.2671254832,0.3409923269,0.0697627749,-0.3043796027
-0.1005806911,-0.1810479685,-0.0202346701,-0.7134573586
-0.9310825113,-0.6770855566,-0.2973642532,-0.1465301673
0.0105952479,-0.7690309336,-0.0244651436,-0.7064421946
-0.9878404281,-0.9167680271,0.5888362175,-1.1391664016
-0.6310552819,0.2854783830,-0.0944359612,-0.6657419685
-0.1263691594,0.9632549077,-0.7420450662,0.0581112494
0.4879417751,-0.7201614725,-0.4593141890,0.2494629631
-0.3189951415,-0.7536858137,0.1032191777,-0.4147981924
-0.5752166999,-0.2476729776,0.4401472693,-2.1220378512
0.1897043918,-1.1136611811,-0.4198738883,-0.9891499272
-1.4523304408,0.3393459245,-0.5072051716,-1.1508016679
-0.4793432677,-0.0360096279,0.0712915202,0.1367284630
0.0467170486,-0.1890540407,0.0418996343,-0.4328585110
-1.8741253010,-0.5545010981,0.2566408242,-0.4026485670
-0.6097589481,0.2460355159,0.4641776290,-0.5797238650
0.0326022659,-0.4565351442,-0.0723189181,-1.0155854715
-0.7230628000,-0.4518842277,0.1380528489,-0.6015444411
-0.0970369811,-0.1357724766,-0.1187863457,-0.0068965301
-0.4916927472,-0.1098056696,-0.3669482688,-0.1678836353
-0.1735466530,0.0068666142,-0.3334312484,-0.5316672847
-0.5542876275,-1.0295322308,-0.3428623346,-0.2684895980
-0.6437549121,-0.2832608921,0.2468133334,-0.1405305681
0.6983983434,0.6167364036,-0.7176215669,0.6449563084
